ctprvn_nm|signgu_nm|emd_nm|regist_se|inqire_ym|managt_cnt|ldadng_dt
서울특별시|서울특별시 강남구|서울특별시 강남구청|개명|201501|187|2017-11-21 16:58:47
서울특별시|서울특별시 강남구|서울특별시 강남구청|사망|201501|183|2017-11-21 16:58:47
서울특별시|서울특별시 강남구|서울특별시 강남구청|이혼|201501|61|2017-11-21 16:58:47
서울특별시|서울특별시 강남구|서울특별시 강남구청|출생|201501|418|2017-11-21 16:58:47
서울특별시|서울특별시 강남구|서울특별시 강남구청|혼인|201501|522|2017-11-21 16:58:47
서울특별시|서울특별시 강동구|서울특별시 강동구청|개명|201501|93|2017-11-21 16:58:47
서울특별시|서울특별시 강동구|서울특별시 강동구청|사망|201501|181|2017-11-21 16:58:47
서울특별시|서울특별시 강동구|서울특별시 강동구청|이혼|201501|74|2017-11-21 16:58:47
서울특별시|서울특별시 강동구|서울특별시 강동구청|출생|201501|332|2017-11-21 16:58:47
서울특별시|서울특별시 강동구|서울특별시 강동구청|혼인|201501|350|2017-11-21 16:58:47
서울특별시|서울특별시 강북구|서울특별시 강북구청|개명|201501|83|2017-11-21 16:58:47
서울특별시|서울특별시 강북구|서울특별시 강북구청|사망|201501|153|2017-11-21 16:58:47
서울특별시|서울특별시 강북구|서울특별시 강북구청|이혼|201501|59|2017-11-21 16:58:47
서울특별시|서울특별시 강북구|서울특별시 강북구청|출생|201501|203|2017-11-21 16:58:47
서울특별시|서울특별시 강북구|서울특별시 강북구청|혼인|201501|219|2017-11-21 16:58:47
서울특별시|서울특별시 강서구|서울특별시 강서구청|개명|201501|63|2017-11-21 16:58:47
서울특별시|서울특별시 강서구|서울특별시 강서구청|사망|201501|239|2017-11-21 16:58:47
서울특별시|서울특별시 강서구|서울특별시 강서구청|이혼|201501|67|2017-11-21 16:58:47
서울특별시|서울특별시 강서구|서울특별시 강서구청|출생|201501|480|2017-11-21 16:58:47
서울특별시|서울특별시 강서구|서울특별시 강서구청|혼인|201501|467|2017-11-21 16:58:47
서울특별시|서울특별시 관악구|서울특별시 관악구청|개명|201501|102|2017-11-21 16:58:47
서울특별시|서울특별시 관악구|서울특별시 관악구청|사망|201501|210|2017-11-21 16:58:47
서울특별시|서울특별시 관악구|서울특별시 관악구청|이혼|201501|74|2017-11-21 16:58:47
서울특별시|서울특별시 관악구|서울특별시 관악구청|출생|201501|328|2017-11-21 16:58:47
서울특별시|서울특별시 관악구|서울특별시 관악구청|혼인|201501|365|2017-11-21 16:58:47
서울특별시|서울특별시 광진구|서울특별시 광진구청|개명|201501|68|2017-11-21 16:58:47
서울특별시|서울특별시 광진구|서울특별시 광진구청|사망|201501|137|2017-11-21 16:58:47
서울특별시|서울특별시 광진구|서울특별시 광진구청|이혼|201501|75|2017-11-21 16:58:47
서울특별시|서울특별시 광진구|서울특별시 광진구청|출생|201501|253|2017-11-21 16:58:47
서울특별시|서울특별시 광진구|서울특별시 광진구청|혼인|201501|248|2017-11-21 16:58:47
서울특별시|서울특별시 구로구|서울특별시 구로구청|개명|201501|49|2017-11-21 16:58:47
서울특별시|서울특별시 구로구|서울특별시 구로구청|사망|201501|176|2017-11-21 16:58:47
서울특별시|서울특별시 구로구|서울특별시 구로구청|이혼|201501|71|2017-11-21 16:58:47
서울특별시|서울특별시 구로구|서울특별시 구로구청|출생|201501|389|2017-11-21 16:58:47
서울특별시|서울특별시 구로구|서울특별시 구로구청|혼인|201501|335|2017-11-21 16:58:47
서울특별시|서울특별시 금천구|서울특별시 금천구청|개명|201501|37|2017-11-21 16:58:47
서울특별시|서울특별시 금천구|서울특별시 금천구청|사망|201501|106|2017-11-21 16:58:47
서울특별시|서울특별시 금천구|서울특별시 금천구청|이혼|201501|41|2017-11-21 16:58:47
서울특별시|서울특별시 금천구|서울특별시 금천구청|출생|201501|150|2017-11-21 16:58:47
서울특별시|서울특별시 금천구|서울특별시 금천구청|혼인|201501|178|2017-11-21 16:58:47
서울특별시|서울특별시 노원구|서울특별시 노원구청|개명|201501|93|2017-11-21 16:58:47
서울특별시|서울특별시 노원구|서울특별시 노원구청|사망|201501|246|2017-11-21 16:58:47
서울특별시|서울특별시 노원구|서울특별시 노원구청|이혼|201501|74|2017-11-21 16:58:47
서울특별시|서울특별시 노원구|서울특별시 노원구청|출생|201501|430|2017-11-21 16:58:47
서울특별시|서울특별시 노원구|서울특별시 노원구청|혼인|201501|335|2017-11-21 16:58:47
서울특별시|서울특별시 도봉구|서울특별시 도봉구청|개명|201501|64|2017-11-21 16:58:47
서울특별시|서울특별시 도봉구|서울특별시 도봉구청|사망|201501|172|2017-11-21 16:58:47
서울특별시|서울특별시 도봉구|서울특별시 도봉구청|이혼|201501|117|2017-11-21 16:58:47
서울특별시|서울특별시 도봉구|서울특별시 도봉구청|출생|201501|231|2017-11-21 16:58:47
서울특별시|서울특별시 도봉구|서울특별시 도봉구청|혼인|201501|123|2017-11-21 16:58:47
서울특별시|서울특별시 동대문구|서울특별시 동대문구청|개명|201501|69|2017-11-21 16:58:47
서울특별시|서울특별시 동대문구|서울특별시 동대문구청|사망|201501|191|2017-11-21 16:58:47
서울특별시|서울특별시 동대문구|서울특별시 동대문구청|이혼|201501|45|2017-11-21 16:58:47
서울특별시|서울특별시 동대문구|서울특별시 동대문구청|출생|201501|253|2017-11-21 16:58:47
서울특별시|서울특별시 동대문구|서울특별시 동대문구청|혼인|201501|265|2017-11-21 16:58:47
서울특별시|서울특별시 동작구|서울특별시 동작구청|개명|201501|59|2017-11-21 16:58:47
