stdr_ym|atdrc_nm|physicl_dspsn_co|visual_dspsn_co|arss_dspsn_co|lang_dspsn_co|intel_dspsn_co|brain_dspsn_co|autism_dspsn_co|mental_dspsn_co|kidney_dspsn_co|heart_dspsn_co|rsporg_dspsn_co|liver_dspsn_co|face_dspsn_co|ostm_urstm_dspsn_co|eplpsy_dspsn_co|ldadng_dt
2015|강남구|7251|1685|1474|125|996|1809|498|808|754|72|109|135|19|91|52|2018-08-09 11:24:54
2015|강동구|8781|1828|1577|165|1246|2029|336|574|712|67|85|115|16|109|62|2018-08-09 11:24:54
2015|강북구|8515|2009|1835|129|1073|1840|115|690|629|33|99|74|13|131|58|2018-08-09 11:24:54
2015|강서구|13463|2797|3033|203|1835|2980|267|1572|1119|96|184|124|39|155|129|2018-08-09 11:24:54
2015|관악구|10216|2368|1997|147|1208|2034|193|828|783|56|90|104|21|122|63|2018-08-09 11:24:54
2015|광진구|6275|1341|1239|82|766|1317|134|514|505|44|56|61|7|101|52|2018-08-09 11:24:54
2015|구로구|8916|1865|1739|133|1098|1721|220|561|590|87|109|85|25|110|47|2018-08-09 11:24:54
2015|금천구|5632|1175|1141|87|650|1077|84|396|378|55|58|35|15|72|39|2018-08-09 11:24:54
2015|노원구|13291|2793|2700|217|2000|3041|296|1434|958|118|162|88|35|182|107|2018-08-09 11:24:54
2015|도봉구|7283|1609|1504|102|938|1756|127|605|534|52|80|86|22|130|30|2018-08-09 11:24:54
2015|동대문구|8414|1627|1583|109|825|1681|125|633|561|62|92|74|20|114|59|2018-08-09 11:24:54
2015|동작구|7103|1639|1672|143|839|1591|190|519|562|51|75|65|12|108|42|2018-08-09 11:24:54
2015|마포구|6701|1650|1432|110|808|1603|138|516|564|44|60|86|18|98|44|2018-08-09 11:24:54
2015|서대문구|6068|1363|1296|108|722|1474|112|539|536|41|51|67|9|95|29|2018-08-09 11:24:54
2015|서초구|5080|1266|1067|76|685|1372|210|338|506|47|58|119|7|83|27|2018-08-09 11:24:54
2015|성동구|6081|1224|1149|97|637|1278|126|427|405|46|86|79|13|91|34|2018-08-09 11:24:54
2015|성북구|9228|1974|1814|152|988|2013|156|639|710|45|93|98|17|132|46|2018-08-09 11:24:54
2015|송파구|9535|2018|1744|127|1428|2247|488|598|852|64|115|171|15|134|63|2018-08-09 11:24:54
2015|양천구|8842|1761|1900|134|1026|1807|189|593|590|56|80|125|14|142|54|2018-08-09 11:24:54
2015|영등포구|7572|1686|1645|113|830|1514|137|447|527|39|53|71|15|126|32|2018-08-09 11:24:54
2015|용산구|4119|1010|865|64|500|873|79|301|296|20|56|45|10|62|20|2018-08-09 11:24:54
2015|은평구|9950|2332|2215|175|1735|2413|226|1104|713|44|128|128|25|179|69|2018-08-09 11:24:54
2015|종로구|3017|771|622|49|354|660|88|260|220|21|25|39|5|38|17|2018-08-09 11:24:54
2015|중구|2891|714|555|30|320|629|48|235|195|19|33|28|6|46|25|2018-08-09 11:24:54
2015|중랑구|10619|2028|1800|137|1179|2067|179|812|652|66|119|90|24|138|86|2018-08-09 11:24:54
2016|강남구|7017|1681|1538|121|1013|1787|530|839|765|62|110|137|19|89|50|2018-08-09 11:24:54
2016|강동구|8445|1803|1662|160|1264|2004|336|561|711|62|93|119|17|115|67|2018-08-09 11:24:54
2016|강북구|8386|2024|1963|137|1114|1824|125|718|645|38|103|75|12|123|51|2018-08-09 11:24:54
2016|강서구|13283|2805|3218|219|1903|3022|290|1607|1188|84|169|129|37|160|126|2018-08-09 11:24:54
2016|관악구|9956|2329|2073|153|1244|2035|208|856|835|48|102|100|21|124|58|2018-08-09 11:24:54
2016|광진구|6084|1322|1326|87|768|1283|135|515|517|41|60|64|10|95|49|2018-08-09 11:24:54
2016|구로구|8719|1863|1817|142|1122|1702|232|561|610|68|104|85|23|119|46|2018-08-09 11:24:54
2016|금천구|5534|1180|1213|85|686|1063|89|401|399|56|55|35|15|73|36|2018-08-09 11:24:54
2016|노원구|12987|2783|2902|223|2055|3029|306|1453|1002|111|155|96|34|181|113|2018-08-09 11:24:54
2016|도봉구|7233|1605|1635|97|999|1730|141|608|569|44|80|86|21|132|35|2018-08-09 11:24:54
2016|동대문구|8250|1610|1687|108|834|1667|126|648|580|54|88|81|19|106|51|2018-08-09 11:24:54
2016|동작구|6925|1632|1776|144|863|1605|207|526|592|51|76|81|9|117|42|2018-08-09 11:24:54
2016|마포구|6321|1570|1497|108|809|1518|151|500|580|42|50|82|14|104|46|2018-08-09 11:24:54
2016|서대문구|6019|1344|1423|119|756|1458|121|514|568|34|58|78|10|94|30|2018-08-09 11:24:54
2016|서초구|4932|1254|1138|80|712|1358|215|340|523|36|60|113|7|74|30|2018-08-09 11:24:54
2016|성동구|5926|1207|1203|102|655|1238|132|439|406|38|94|80|15|94|35|2018-08-09 11:24:54
2016|성북구|8872|1955|1852|155|991|1993|164|638|723|33|90|102|17|124|46|2018-08-09 11:24:54
2016|송파구|9297|2035|1851|138|1443|2185|516|617|873|56|107|163|15|140|63|2018-08-09 11:24:54
2016|양천구|8620|1714|2018|140|1036|1791|205|604|623|43|82|126|13|138|47|2018-08-09 11:24:54
2016|영등포구|7207|1642|1676|121|831|1479|144|451|545|36|54|69|16|115|33|2018-08-09 11:24:54
