,사업장명,도로명주소,경도,위도,geometry
0,봄약국,서울특별시 구로구 경인로 204 1층 103호 (오류동),186112.599008354,443739.583663212,POINT (941734.6405440555 1944259.5597851595)
1,다정약국,서울특별시 강남구 논현로175길 7 1층 101호 (신사동),202404.057142197,447100.992500074,POINT (958037.6200912766 1947532.874829697)
2,연세약국,서울특별시 강북구 도봉로 345 1층 (수유동),202218.044288909,459587.426824841,POINT (957918.296406364 1960015.2971339158)
3,서초무지개약국,서울특별시 서초구 효령로 403 4층 410호 (서초동),202245.377899369,442987.986999742,POINT (957857.0988070483 1943422.3622800084)
4,다나은약국,서울특별시 동대문구 홍릉로 3 1층 (청량리동),203875.693195775,453153.04153216,POINT (959540.9313738293 1953574.6472594584)
5,보문한약국,서울특별시 동대문구 약령중앙로 11 1층 (제기동),203176.142556185,453006.365626767,POINT (958840.8795164006 1953431.7621896244)
6,서초자이약국,서울특별시 서초구 효령로 403 204호 (서초동),202245.377899369,442987.986999742,POINT (957857.0988070483 1943422.3622800084)
7,조은약국,서울특별시 강북구 도봉로 317 덕산빌딩 2층 (수유동),202039.04194331,459387.45864991,POINT (957738.2976194737 1959816.3652531868)
8,애프터팜 윤약국,서울특별시 관악구 관악로 174 102호 (봉천동),195766.88700161,442051.412686746,POINT (951376.1937138189 1942520.6464161233)
9,송파시그니처약국,서울특별시 송파구 거마로 56 상가동 2층 9호 (거여동 송파시그니처롯데캐슬),213149.522764117,443705.473072412,POINT (968760.6322091843 1944081.5032107616)
10,나인약국,서울특별시 서초구 서초대로77길 3 아라타워 124호 (서초동),202276.917171991,443970.967951703,POINT (957893.8590702765 1944404.78158566)
11,튼튼온누리약국,서울특별시 구로구 디지털로32가길 25 티타운빌딩 101-1호 (구로동),190987.661570042,442224.13121712,POINT (946599.7553022607 1942718.737024507)
12,금천중앙약국,서울특별시 금천구 시흥대로73길 67 엠메디컬타워 116호 (시흥동),,,POINT EMPTY
13,상암나무약국,서울특별시 마포구 월드컵북로 381 제상가동 지1층 113-1호 (상암동 상암 월드컵파크 4단지),190273.413835,453161.635323,POINT (945944.0711595322 1953655.8039237037)
14,5층 하늘약국,서울특별시 강동구 고덕로 133 강동롯데캐슬퍼스트아파트 5층 513호 (암사동),212334.9584644,450346.790651613,POINT (967981.7877225233 1950724.4244212578)
15,휴베이스봄약국,서울특별시 서초구 서초대로73길 9 타임빌딩 1층 (서초동),202161.370697622,444011.647775501,POINT (957778.5754772838 1944446.0603778465)
16,비타민약국,서울특별시 강서구 공항대로 417 센트럴시티 102호 (등촌동),187019.4646365,450395.665131884,POINT (942676.6250633071 1950908.2561821647)
17,코리아약국,서울특별시 강서구 강서로 323 1층 102호 (내발산동),185487.641769266,450280.85856253,POINT (941144.7770526258 1950801.6613262922)
18,아이디약국,서울특별시 강남구 도산대로 111 1층 101호 (신사동),201760.03,446080.140000001,POINT (957388.412064536 1946515.8622181665)
19,길동온누리약국,서울특별시 강동구 천호대로 1131 거산 유팰리스 1층 105호 (길동),212060.935103152,448068.174635177,POINT (967695.7314334842 1948448.2065763692)
20,마곡아임약국,서울특별시 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 1층 102호 (마곡동),184650.0,451667.0,POINT (940314.8471372724 1952191.740185543)
21,도담약국,서울특별시 노원구 공릉로43길 1 104호 (공릉동),206934.623332396,458191.739553506,POINT (962625.5190083673 1958594.981849566)
22,봄약국,서울특별시 도봉구 도봉로 684 116호 (방학동),203799.86528368,462533.430210964,POINT (959515.2235584236 1962951.6649416545)
