데이터 추출일 : 2022-08-10 21:14:54
약국명,대표전화,도로명주소,지번주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일
21세기약국,054-452-2121,"경상북도 구미시 신시로 78, 1층 (송정동)",경상북도 구미시 송정동 27-11번지,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,10:30~23:30,09:00~23:30
24시약국,055-642-4006,"경상남도 통영시 안개로 9, 102호 (무전동)",경상남도 통영시 무전동 990-9 102호,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,14:00~23:30,
365녹십자약국,031-652-3307,경기도 평택시 중앙로 2 (통복동),,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
365약국,070-4149-7365,"인천광역시 계양구 오조산로 1, 거승프라자 107호 (작전동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
365약국,031-794-0367,"경기도 하남시 미사강변중앙로 226, 우성르보아파크 1층 112호 (망월동)",,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~23:00,09:00~23:00,09:00~23:00
365열린약국,02-874-2332,서울특별시 관악구 남부순환로 1615  (신림동),서울특별시 관악구 신림동 1422-42 ,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,10:00~23:00,10:00~23:00
365열린약국,02-3666-0784,"서울특별시 구로구 남부순환로97길 3, KS프리미어빌딩 105호 (개봉동)",,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30
365열린약국,02-2633-2800,"서울특별시 영등포구 영중로 119, 리마크빌 영등포 2층 204-2호 (영등포동8가)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
365일연향대형약국,061-746-3651,"전라남도 순천시 연향3로 11, 1층 1A 4호~6호 (연향동)",전라남도 순천시 연향동 1319-1,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
365정화약국,02-935-4869,"서울특별시 노원구 상계로 59, 동익빌딩 1층 7,8호 (상계동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,13:00~23:00,13:00~23:00
365종로약국,02-2215-8704,"서울특별시 동대문구 전농로 60-1, 1층 (답십리동)",,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00
365행복약국,032-429-8184,"인천광역시 남동구 논고개로123번길 35, 칼리오페 1층 A동 126호 (논현동)",,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~19:00,,
7번약국,02-904-7773,"서울특별시 강북구 도봉로 339, 1층 (수유동)",,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,12:30~25:00,12:30~25:00
W스토아청와약국,02-855-1482,서울특별시 구로구 디지털로 227 (가리봉동),,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00
가까운약국,02-356-9813,"서울특별시 은평구 통일로 738, 1층 3호 (불광동)",,08:50~23:00,08:50~22:00,08:50~23:00,08:50~22:00,08:50~23:00,08:50~22:00,13:00~22:00,09:30~22:00
가나안약국,02-434-9259,"서울특별시 중랑구 봉우재로 39, (면목동)",서울특별시 중랑구 면목2동 182-4,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~21:30,,09:00~21:30
가람약국,052-257-7584,울산광역시 남구 삼산로 159-1 (달동),,09:00~26:00,09:00~26:00,09:00~26:00,09:00~26:00,09:00~26:00,09:00~26:00,09:00~26:00,09:00~26:00
간석온누리약국,032-868-6682,"인천광역시 남동구 경원대로 971 (간석동, 홈플러스 2층일부)",인천광역시 남동구 간석4동 616-3,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30
강남새천년온누리약국,02-552-3524,"서울특별시 강남구 도곡로 523, 1층 (대치동)",서울특별시 강남구 대치동 986-9 대치순복음교회 ,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,13:00~22:30,13:00~22:30
강남약국,031-285-9901,경기도 용인시 기흥구 신구로12번길 19 (구갈동),,09:00~19:00,09:00~24:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,
강남웰약국,02-6440-5656,"서울특별시 강남구 강남대로 432, 점프밀라노 지하1층 101호 (역삼동)",서울특별시 강남구 역삼1동 815,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,10:00~20:30,10:00~21:00
강남효약국,031-286-3379,경기도 용인시 기흥구 신구로12번길 11-1 (구갈동),,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,
강동성실약국,02-478-7001,"서울특별시 강동구 진황도로 81, 강동투웨니퍼스트 1층 101호 (길동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~22:00,14:00~22:00,14:00~22:00
강동태평양약국,02-473-3377,서울특별시 강동구 양재대로 1343 (성내동),,09:00~22:40,09:00~22:40,09:00~22:40,09:00~22:40,09:00~22:40,09:00~22:40,09:00~22:00,09:00~22:00
강서홈약국,02-2659-1823,"서울특별시 강서구 화곡로 398, 홈플러스강서점앤본사사옥 1층 (등촌동)",,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,,10:00~22:30,10:00~22:30
갤러리약국,053-256-3651,"대구광역시 중구 중앙대로 309, 1층 (남산동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,,
갤러리약국,02-6227-5578,서울특별시 강남구 학동로20길 55 106호,서울특별시 강남구 논현동 158 해림빌딩 106호,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,,
거제프라자약국,055-638-1351,경상남도 거제시 거제중앙로 1916-1,경상남도 거제시 고현동 961-31,09:00~24:00,09:00~24:00,09:00~24:00,09:00~22:00,09:00~22:00,09:00~24:00,09:00~24:00,09:00~24:00
건강약국,055-757-6223,경상남도 진주시 하대로 138,"경상남도 진주시 하대동 101 현대아파트 하대동,현대아파트",08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,21:00~23:00,21:00~23:00,21:00~23:00
건강약국,032-548-2095,인천광역시 계양구 봉오대로 785,인천광역시 계양구 작전3동 911-1,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,,10:00~23:00
건대가온약국,02-453-4669,"서울특별시 광진구 광나루로 410, 105호 (화양동, KCC파크타운)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
건명약국,02-435-3900,서울특별시 중랑구 면목로 421,서울특별시 중랑구 면목본동 126-6,09:20~20:30,09:20~25:00,09:20~20:20,09:20~20:20,09:20~17:00,20:00~25:00,22:00~25:00,
건인약국,031-423-1185,경기도 안양시 동안구 인덕원로24번길 56 (관양동),,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,,
경기약국,031-765-8562,경기도 광주시 고불로 58 (중대동),,06:30~23:00,06:30~23:00,06:30~23:00,06:30~23:00,06:30~23:00,06:30~23:00,06:30~23:00,
경남약국,051-325-3355,"부산광역시 사상구 사상로 194, 괘법동 메디컬센터 1층 (괘법동)",부산광역시 사상구 괘법동 546-12,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00
