행정구역명,행정구역코드,고령자,수급자,중증장애,매출액,고령자_zscore,수급자_zscore,중증장애_zscore,매출액_zscore,고령자_tscore,수급자_tscore,중증장애_tscore,매출액_tscore,의료가중지수
가락1동,1124066,3460,112,215,132632406.16981132,-0.20233040839881286,-1.140143327363323,-0.5772224392166744,-0.7814783847624915,47.97669591601187,38.59856672636677,44.22777560783326,42.185216152375084,42.97116838748326
가락2동,1124067,4280,576,358,384975910.96062994,0.3353252198104229,-0.48592643104699823,0.04774621840100952,0.5844046714778482,53.35325219810423,45.14073568953002,50.47746218401009,55.844046714778486,52.801985315679104
가락본동,1124065,3811,739,264,264387299.96304348,0.027812427578555145,-0.2561045472117376,-0.3630723397532722,-0.06831647018061425,50.27812427578555,47.43895452788262,46.36927660246728,49.31683529819386,48.81201912194191
가리봉동,1117070,2077,643,204,92000303.57073171,-1.1091325228053655,-0.391459767139253,-0.6252969513411116,-1.0014115291701822,38.908674771946345,46.08540232860747,43.74703048658888,39.98588470829818,41.308001526868274
가산동,1118051,2682,801,261,274420097.3598015,-0.7124475776022098,-0.16868763434188383,-0.3761835703326642,-0.01401101864032747,42.875524223977905,48.31312365658116,46.23816429667336,49.85988981359672,47.73961692857982
가양1동,1116064,3121,307,282,163015579.02362204,-0.42460511323165545,-0.8652030368855572,-0.2844049562769204,-0.6170205714724564,45.75394886768345,41.34796963114443,47.15595043723079,43.82979428527544,44.19607540627854
가양2동,1116065,4134,3330,1426,665295367.5774648,0.23959629088536388,3.397076440623602,4.7153443046645505,2.101715752834299,52.39596290885364,83.97076440623601,97.1534430466455,71.01715752834299,72.82683549786421
가양3동,1116066,3721,2312,775,434045423.5090909,-0.031198556005385368,1.9617471293089066,1.8702072689364933,0.8500077660511552,49.688014439946144,69.61747129308907,68.70207268936494,58.50007766051155,59.95845828070621
가회동,1101060,865,77,72,58333851.01515152,-1.903813768402431,-1.189491584628563,-1.2021910968343583,-1.1836410545447515,30.96186231597569,38.10508415371437,37.97808903165642,38.163589454552486,36.68981804632845
갈현1동,1112055,4381,1799,372,315876992.40076333,0.4015486569435117,1.2384426728212459,0.10893196110483871,0.21038655619609942,54.01548656943512,62.38442672821246,51.08931961104839,52.103865561960994,54.15846972368575
갈현2동,1112056,5010,1456,454,238617193.6438356,0.8139698644357182,0.7548297516218936,0.46730559694155255,-0.20780471105329487,58.13969864435718,57.54829751621894,54.67305596941553,47.92195288946705,52.49400023512022
강일동,1125075,5321,2240,687,277008598.28104544,1.0178855965980016,1.86023071436327,1.4856111719409955,-3.2262758036676246e-16,60.17885596598002,68.6023071436327,64.85611171940995,50.0,57.14818890825797
개봉1동,1117072,6464,1645,622,176929828.1284722,1.767325088114046,1.0213103408541897,1.201534509387503,-0.5417056268362683,67.67325088114046,60.2131034085419,62.01534509387503,44.582943731637314,54.11533327527596
개봉2동,1117064,6506,811,483,442268746.9395973,1.794863547119885,-0.15458813226610096,0.5940474925423416,0.8945189102909239,67.94863547119886,48.45411867733899,55.940474925423416,58.94518910290924,58.53435177990664
개봉3동,1117065,4307,658,355,199760780.005291,0.3530285148856051,-0.37031051402557874,0.034634987821617544,-0.4181264193895151,53.53028514885605,46.296894859744214,50.346349878216174,45.81873580610485,48.01067526805589
개포1동,1123068,1620,162,65,187513490.44,-1.408777183892708,-1.0696458169844087,-1.232783968186273,-0.48441845775985926,35.91222816107292,39.303541830155915,37.67216031813727,45.15581542240141,41.347493203459734
개포2동,1123080,3640,174,211,180614788.408046,-0.08430844123093183,-1.0527264144934692,-0.594704079989197,-0.5217597010912771,49.15691558769068,39.47273585506531,44.05295920010803,44.78240298908723,44.63693328673168
개포4동,1123071,3240,713,249,196187971.9862637,-0.3465794793817786,-0.292763252608773,-0.42862849265023206,-0.43746528820816893,46.534205206182214,47.07236747391227,45.71371507349768,45.62534711791831,46.07139329231745
거여1동,1124053,2414,560,222,150921420.60674158,-0.888169173163277,-0.5084856343682508,-0.5466295678647598,-0.6824837426953384,41.11830826836723,44.91514365631749,44.5337043213524,43.17516257304661,43.23810612022136
거여2동,1124054,3550,803,453,393813102.8861386,-0.14331942481487234,-0.16586773392672724,0.4629351867484219,0.6322385585668074,48.56680575185128,48.34132266073273,54.62935186748422,56.32238558566807,53.16295439226805
고덕1동,1125055,2856,309,282,237110262.04285717,-0.5983596760065915,-0.8623831364704007,-0.2844049562769204,-0.21596141927685628,44.016403239934085,41.376168635296,47.15595043723079,47.840385807231435,45.858796867433185
고덕2동,1125056,2998,588,368,377337788.0804598,-0.5052534574630408,-0.46900702855605875,0.09145032033231608,0.5430610964484279,44.94746542536959,45.30992971443941,50.914503203323164,55.43061096448428,50.99834916775835
고척1동,1117061,4429,667,368,298501321.3141026,0.43302118152161334,-0.35762096215737416,0.09145032033231608,0.11633565225962292,54.33021181521613,46.42379037842626,50.914503203323164,51.16335652259623,50.93619684098133
