약국명,대표전화,도로명주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일,X,Y
365열린약국,02-874-2332,서울특별시 관악구 남부순환로 1615  (신림동),09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,10:00~23:00,10:00~23:00,126.930086903853,37.4845561108911
365열린약국,02-3666-0784,"서울특별시 구로구 남부순환로97길 3, KS프리미어빌딩 105호 (개봉동)",08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,126.858255129585,37.49399577225
365열린약국,02-2633-2800,"서울특별시 영등포구 영중로 119, 리마크빌 영등포 2층 204-2호 (영등포동8가)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,126.905231110596,37.5267660967496
365정화약국,02-935-4869,"서울특별시 노원구 상계로 59, 동익빌딩 1층 7,8호 (상계동)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,13:00~23:00,13:00~23:00,127.06151518884,37.6561602782805
365종로약국,02-2215-8704,"서울특별시 동대문구 전농로 60-1, 1층 (답십리동)",08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,127.057408838132,37.5702886659296
7번약국,02-904-7773,"서울특별시 강북구 도봉로 339, 1층 (수유동)",09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,12:30~25:00,12:30~25:00,127.0254890674,37.63825390139
W스토아청와약국,02-855-1482,서울특별시 구로구 디지털로 227 (가리봉동),08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,126.890907692931,37.4804629735182
가까운약국,02-356-9813,"서울특별시 은평구 통일로 738, 1층 3호 (불광동)",08:50~23:00,08:50~22:00,08:50~23:00,08:50~22:00,08:50~23:00,08:50~22:00,13:00~22:00,09:30~22:00,126.929406673052,37.611415859944
가나안약국,02-434-9259,"서울특별시 중랑구 봉우재로 39, (면목동)",09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~21:30,,09:00~21:30,127.077553963477,37.5907081718842
강남새천년온누리약국,02-552-3524,"서울특별시 강남구 도곡로 523, 1층 (대치동)",10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,13:00~22:30,13:00~22:30,127.063671536864,37.500056331752
강남웰약국,02-6440-5656,"서울특별시 강남구 강남대로 432, 점프밀라노 지하1층 101호 (역삼동)",09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,10:00~20:30,10:00~21:00,127.026630556235,37.5012350392984
강동성실약국,02-478-7001,"서울특별시 강동구 진황도로 81, 강동투웨니퍼스트 1층 101호 (길동)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~22:00,14:00~22:00,14:00~22:00,127.135707130269,37.5367040128134
강동태평양약국,02-473-3377,서울특별시 강동구 양재대로 1343 (성내동),09:00~22:40,09:00~22:40,09:00~22:40,09:00~22:40,09:00~22:40,09:00~22:40,09:00~22:00,09:00~22:00,127.135215245847,37.5263393754437
강서홈약국,02-2659-1823,"서울특별시 강서구 화곡로 398, 홈플러스강서점앤본사사옥 1층 (등촌동)",10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,,10:00~22:30,10:00~22:30,126.854819012937,37.5584699599397
갤러리약국,02-6227-5578,서울특별시 강남구 학동로20길 55 106호,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,,,127.027198203947,37.5100786367461
건대가온약국,02-453-4669,"서울특별시 광진구 광나루로 410, 105호 (화양동, KCC파크타운)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,127.075047996201,37.5465622772815
건명약국,02-435-3900,서울특별시 중랑구 면목로 421,09:20~20:30,09:20~25:00,09:20~20:20,09:20~20:20,09:20~17:00,20:00~25:00,22:00~25:00,,127.087051201678,37.5896465780784
