,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),판매점영업면적,geometry
32,3000000,PHMH320153000034087500046,20151204,,1,영업/정상,13,영업중,,,,,02-742-8277,,,서울특별시 종로구 종로6가 76번지,서울특별시 종로구 율곡로 294 (종로6가),3124.0,(주)코리아세븐 동대문점,20151204162717,I,2018-08-31 23:59:59.0,,200693.446442403,452129.426487718,45.9,POINT (956354.4995232564 1952568.4171510963)
33,3000000,PHMH320153000034087500047,20151222,,1,영업/정상,13,영업중,,,,,02-766-3337,,,서울특별시 종로구 묘동 204번지 1호 1층,서울특별시 종로구 돈화문로 27 1층 (묘동),3139.0,씨유종로3가역점,20151222154350,I,2018-08-31 23:59:59.0,,199213.838396552,452079.102685274,9.9,POINT (954875.2121550047 1952526.0051110599)
34,3000000,PHMH320123000034087500089,20121114,,1,영업/정상,13,영업중,,,,,,,110032.0,서울특별시 종로구 신교동 36번지,서울특별시 종로구 필운대로 112-4 (신교동),3035.0,씨유 종로신교점,20211123140300,U,2021-11-25 02:40:00.0,,197248.98886396,453488.397543043,0.0,POINT (952918.6590389642 1953945.2227604946)
35,3000000,PHMH320133000034087500024,20130321,,1,영업/정상,13,영업중,,,,,02-744-2238,,110524.0,서울특별시 종로구 명륜4가 113번지 1호 대학로스타시티빌딩 102호,서울특별시 종로구 대학로11길 23 102호 (명륜4가 대학로스타시티빌딩),3079.0,GS25 명륜스타,20200722173251,U,2020-07-24 02:40:00.0,,199972.881431778,453308.674806807,,POINT (955640.5121905938 1953751.0391164212)
36,3000000,PHMH320153000034087500043,20151123,,1,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 종로6가 12번지 9호 1층,서울특별시 종로구 율곡로 271 1층 (종로6가 대광빌딩),3098.0,씨유 종로공원점,20151123183925,I,2018-08-31 23:59:59.0,,200600.526930858,452323.316087427,,POINT (956262.6512408815 1952762.7250093753)
37,3000000,PHMH320163000034087500030,20161026,,1,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 관철동 42번지 3호,서울특별시 종로구 삼일대로17길 51 1층 (관철동 스타골드빌딩),3189.0,(주)코리아세븐종각점,20161026175012,I,2018-08-31 23:59:59.0,,198564.46852157,451870.58576802,,POINT (954224.9879323306 1952321.0344226505)
38,3000000,PHMH320163000034087500031,20161027,,1,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 이화동 80번지 3호 1층,서울특별시 종로구 율곡로17길 24 1층 (이화동),3100.0,씨유 종로율곡점,20161219173001,I,2018-08-31 23:59:59.0,,200351.655299926,452734.637745835,49.5,POINT (956016.0728737632 1953175.2101510565)
39,3000000,PHMH320163000034087500026,20160810,,1,영업/정상,13,영업중,,,,,02-747-8508,,,서울특별시 종로구 창신동 464번지 16호 1층,서울특별시 종로구 종로46길 5 1층 (창신동),3119.0,씨유동대문역점,20160812091415,I,2018-08-31 23:59:59.0,,200900.729782712,452107.733476585,,POINT (956561.5844430695 1952545.627219749)
40,3000000,PHMH320163000034087500027,20160822,,1,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 숭인동 1396번지,서울특별시 종로구 난계로 241 (숭인동),3116.0,세븐일레븐 숭인IBC호텔점,20180309114940,I,2018-08-31 23:59:59.0,,201949.270716491,452329.735166543,66.0,POINT (957610.890336626 1952761.947494036)
41,3000000,PHMH320153000034087500016,20150626,,1,영업/정상,13,영업중,,,,,,,110130.0,서울특별시 종로구 청진동 149번지 101호,서울특별시 종로구 종로5길 7 101호 (청진동),3157.0,지에스25청진타워8,20150626175502,I,2018-08-31 23:59:59.0,,198235.0,452048.0,77.82,POINT (953896.5962717208 1952500.1355391336)
42,3000000,PHMH320173000034087500025,20170707,,1,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 명륜1가 27번지 58호,서울특별시 종로구 성균관로 74 (명륜1가),3069.0,세븐일레븐 명륜동선점,20200724160223,U,2020-07-26 02:40:00.0,,199699.142552304,454091.032612385,,POINT (955371.0564589854 1954534.5459675381)
43,3000000,PHMH320123000034087500064,20121112,,1,영업/정상,13,영업중,,,,,02-2266-4805,,,,서울특별시 종로구 삼일대로 390-1 (관철동),3191.0,이마트24 삼일로점,20190617172446,U,2019-06-19 02:40:00.0,,198867.921956341,451906.885476295,,POINT (954528.5145629868 1952355.7012721512)
44,3000000,PHMH320123000034087500137,20121129,,1,영업/정상,13,영업중,,,,,02-2075-5537,,110888.0,서울특별시 종로구 종로1가 24번지 르메이에르종로타운 109호,서울특별시 종로구 종로 19 109호 (종로1가 르메이에르종로타운),3157.0,씨유 종로1가점,20170502112757,I,2018-08-31 23:59:59.0,,198150.300374121,452019.212642931,,POINT (953811.7766649583 1952471.811345344)
45,3000000,PHMH320123000034087500044,20121112,,1,영업/정상,13,영업중,,,,,,,110810.0,서울특별시 종로구 동숭동 187번지 12호,서울특별시 종로구 이화장길 99-0 (동숭동),3087.0,GS25 종로방통대점,20130715144428,I,2018-08-31 23:59:59.0,,200309.358120637,453044.212129777,,POINT (955975.4439787394 1953484.8867653983)
46,3000000,PHMH320183000034087500007,20180315,,1,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 행촌동 206번지 29호,서울특별시 종로구 사직로 7 지하1층 (행촌동),3029.0,씨유 종로대신점,20180604134550,I,2018-08-31 23:59:59.0,,196501.162126415,452271.219553834,66.0,POINT (952164.6344354034 1952732.5147258681)
47,3000000,PHMH320163000034087500020,20160713,,1,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 숭인동 376번지 1층,서울특별시 종로구 숭인동길 76 1층 (숭인동),3111.0,GS25 숭인보문점,20170830175218,I,2018-08-31 23:59:59.0,,201868.251816014,452890.732540915,49.5,POINT (957532.8963217422 1953323.1524502074)
48,3000000,PHMH320123000034087500092,20121114,,1,영업/정상,13,영업중,,,,,02-741-0413,,110521.0,서울특별시 종로구 명륜1가 97번지 2호,서울특별시 종로구 성균관로 36 (명륜1가),3069.0,씨유 성대원룸촌점,20190531180022,U,2019-06-02 02:40:00.0,,199665.956070641,453731.083871475,,POINT (955335.9626288253 1954174.9175356464)
49,3000000,PHMH320123000034087500093,20121114,,1,영업/정상,13,영업중,,,,,02-745-7025,,110523.0,서울특별시 종로구 명륜3가 1번지 114호,서울특별시 종로구 명륜길 74 (명륜3가),3065.0,씨유 성대양현관입구점,20130716092227,I,2018-08-31 23:59:59.0,,199374.280432253,454179.851357379,,POINT (955046.7974702868 1954625.0628048738)
50,3000000,PHMH320123000034087500094,20121114,,1,영업/정상,13,영업중,,,,,02-732-7110,,110140.0,서울특별시 종로구 수송동 58번지 1층  106호,서울특별시 종로구 삼봉로 81 1층 106호 (수송동),3150.0,세븐일레븐 종로두산점,20140522151750,I,2018-08-31 23:59:59.0,,198324.653631679,452252.812389497,,POINT (953987.3067885155 1952704.388555497)
51,3000000,PHMH320173000034087500009,20170324,,1,영업/정상,13,영업중,,,,,,,,,서울특별시 종로구 통일로 168-1 3101호 (교남동 경희궁자이3BL),3181.0,씨유 경희궁자이행복점,20170516091537,I,2018-08-31 23:59:59.0,,196733.758361679,451872.227933141,39.6,POINT (952395.0108111906 1952332.4399405052)
52,3000000,PHMH320183000034087500009,20180406,,1,영업/정상,13,영업중,,,,,02-766-7249,,,서울특별시 종로구 명륜2가 8번지 30호 1층,서울특별시 종로구 창경궁로 255 1층 (명륜2가),3075.0,CU 종로명륜2가점,20180604134640,I,2018-08-31 23:59:59.0,,199920.139694741,453560.115981456,29.7,POINT (955589.1329180937 1954002.6615452264)
53,3000000,PHMH320183000034087500010,20180425,,1,영업/정상,13,영업중,,,,,,,,,서울특별시 종로구 계동길 61 1층 (계동),3056.0,GS25계동중앙점,20180425155036,I,2018-08-31 23:59:59.0,,198743.166772387,453082.574897286,,POINT (954410.0801465227 1953531.5894490178)
54,3000000,PHMH320153000034087500010,20150514,,1,영업/정상,13,영업중,,,,,02-744-7332,,110812.0,서울특별시 종로구 명륜3가 1번지 30호 1층  102호,서울특별시 종로구 명륜4길 8 1층 102호 (명륜3가),3070.0,GS25 성대양현점,20150515093208,I,2018-08-31 23:59:59.0,,199480.872005434,454123.120311234,,POINT (955153.0439511095 1954567.7855576135)
55,3000000,PHMH320163000034087500021,20160718,,1,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 누상동 17번지,서울특별시 종로구 옥인3길 2-1 (누상동),3038.0,(주)코리아세븐 종로누상점,20191030175314,U,2019-11-20 02:40:00.0,,196956.504201164,453186.141879074,49.5,POINT (952624.677375302 1953644.6469473145)
56,3000000,PHMH320173000034087500020,20170605,,1,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 창신동 703번지,서울특별시 종로구 낙산길 198 208동 1층 (창신동 창신쌍용아파트),3092.0,씨유창신쌍용점,20170605170538,I,2018-08-31 23:59:59.0,,200971.425717609,453113.875178674,50.0,POINT (956637.6191066883 1953550.9900864435)
57,3000000,PHMH320143000034087500016,20140822,,1,영업/정상,13,영업중,,,,,,,110862.0,서울특별시 종로구 숭인동 63번지 1호,서울특별시 종로구 지봉로10길 2 1층 (숭인동),3109.0,씨유 종로숭인점,20141023160012,I,2018-08-31 23:59:59.0,,201327.734146154,452639.052270126,90.0,POINT (956991.2522758835 1953074.4561586897)
58,3000000,PHMH320123000034087500008,20121102,,1,영업/정상,13,영업중,,,,,02-725-8425,,110045.0,서울특별시 종로구 체부동 19번지 1호,서울특별시 종로구 자하문로 19-1 (체부동),3041.0,GS25 종로사직점,20140103105534,I,2018-08-31 23:59:59.0,,197347.192983,452921.820829,,POINT (953013.8017056086 1953378.346124529)
59,3000000,PHMH320123000034087500009,20121102,,1,영업/정상,13,영업중,,,,,02-737-4524,,110805.0,서울특별시 종로구 누하동 57번지 2호,서울특별시 종로구 필운대로 39 (누하동),3037.0,GS25 종로누하점,20140103105626,I,2018-08-31 23:59:59.0,,197159.15248117,453026.326653906,,POINT (952826.3930239776 1953483.813771754)
60,3000000,PHMH320123000034087500032,20121108,,1,영업/정상,13,영업중,,,,,02-736-0996,,110044.0,서울특별시 종로구 필운동 163번지,서울특별시 종로구 필운대로 12 (필운동),3041.0,세븐일레븐 종로배화점,20170428104131,I,2018-08-31 23:59:59.0,,197231.292851585,452764.457295974,,POINT (952897.1079262858 1953221.6630711427)
61,3000000,PHMH320183000034087500011,20180426,,1,영업/정상,13,영업중,,,,,02-765-0183,,,서울특별시 종로구 효제동 320번지,서울특별시 종로구 대학로1길 6 (효제동),3129.0,CU 종로연강홀점,20180604134735,I,2018-08-31 23:59:59.0,,200069.598960974,452132.848980757,60.0,POINT (955730.9189639293 1952575.1656818572)
62,3000000,PHMH320173000034087500031,20170818,,1,영업/정상,13,영업중,,,,,02-742-9669,,,서울특별시 종로구 연건동 206번지 1층,서울특별시 종로구 율곡로 195 1층 (연건동 대보마로니에텔),3081.0,세븐일레븐 종로태양점,20170818173233,I,2018-08-31 23:59:59.0,,199967.525233963,452654.509799979,,POINT (955631.6684086194 1953097.1631943497)
63,3000000,PHMH320123000034087500018,20121107,,1,영업/정상,13,영업중,,,,,,,110530.0,서울특별시 종로구 혜화동 201번지,서울특별시 종로구 동숭길 140 (혜화동),3084.0,GS25 동숭점,20140103103215,I,2018-08-31 23:59:59.0,,200156.610752518,453486.148396679,,POINT (955825.1151676317 1953927.4618031792)
64,3000000,PHMH320123000034087500100,20121114,,1,영업/정상,13,영업중,,,,,02-390-0077,,110021.0,서울특별시 종로구 부암동 129번지 8호,서울특별시 종로구 자하문로 266 102-12호 (부암동),3020.0,씨유종로부암점,20130716095533,I,2018-08-31 23:59:59.0,,196668.877563099,455055.264019484,,POINT (952347.1377554465 1955514.5658591832)
65,3000000,PHMH320143000034087500021,20141015,,1,영업/정상,13,영업중,,,,,,,110130.0,서울특별시 종로구 청진동 201번지 1호 1층,서울특별시 종로구 종로3길 38 1층 (청진동),3156.0,GS25청진본,20141015172747,I,2018-08-31 23:59:59.0,,198120.637972874,452198.433879026,85.0,POINT (953783.0819271713 1952651.1197800448)
66,3000000,PHMH320123000034087500114,20121115,,1,영업/정상,13,영업중,,,,,02-394-9077,,110012.0,서울특별시 종로구 평창동 343번지 1호,서울특별시 종로구 평창11길 17 (평창동),3008.0,(주)코리아세븐평창점,20161122095955,I,2018-08-31 23:59:59.0,,196915.715098031,456069.982694811,,POINT (952599.2938870897 1956527.5663995305)
67,3000000,PHMH320133000034087500027,20130624,,1,영업/정상,13,영업중,,,,,02-743-8249,,110460.0,서울특별시 종로구 연건동 78번지 2호,서울특별시 종로구 대학로 81 (연건동),3082.0,씨유 마로니에점,20170428102839,I,2018-08-31 23:59:59.0,,200099.913137334,452901.852546819,,POINT (955765.3230128421 1953343.7012159466)
68,3000000,PHMH320133000034087500029,20130626,,1,영업/정상,13,영업중,,,,,02-2195-4033,,110070.0,서울특별시 종로구 내수동 74번지 광화문시대 102-2호,서울특별시 종로구 사직로8길 42 102-2호 (내수동 광화문시대),3173.0,이마트24 광화문시대점,20180622155916,I,2018-08-31 23:59:59.0,,197559.791065754,452388.315239125,,POINT (953223.4698375317 1952843.9174693157)
69,3000000,PHMH320173000034087500049,20171219,,1,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 명륜3가 1번지 3호 1층,서울특별시 종로구 명륜길 21 1층 (명륜3가),3071.0,씨유 성대킹고점,20180209142827,I,2018-08-31 23:59:59.0,,199541.085851334,453994.48641613,,POINT (955212.5474865233 1954438.8815390917)
