약국명,도로명주소,자치구,행정동,심야약국,유년부양비,노년부양비,노령화지수,종합병원,병원,의원,치과병원,치과의원,한방병원,한방의원,인구밀도,한국인 0~4세,한국인 5~9세,한국인 10~14세,한국인 15~19세,한국인 20~24세,한국인 25~29세,한국인 30~34세,한국인 35~39세,한국인 40~44세,한국인 45~49세,한국인 50~54세,한국인 55~59세,한국인 60~64세,한국인 65~69세,한국인 70~74세,한국인 75~79세,한국인 80~84세,한국인 85~89세,한국인 90~94세,한국인 95~99세,한국인 100세 이상,외국인 0~4세,외국인 5~9세,외국인 10~14세,외국인 15~19세,외국인 20~24세,외국인 25~29세,외국인 30~34세,외국인 35~39세,외국인 40~44세,외국인 45~49세,외국인 50~54세,외국인 55~59세,외국인 60~64세,외국인 65~69세,외국인 70~74세,외국인 75~79세,외국인 80~84세,외국인 85~89세,외국인 90~94세,외국인 95~99세,외국인 100세 이상
봄약국,서울특별시 구로구 경인로 204 1층 103호 (오류동),구로구,오류1동,0,9.7,23,236.3,2,8,266,1,170,2,110,39593,11019,13863,14462,14364,21917,31416,31255,29192,30854,29792,32156,29817,31830,25728,19050,13582,8978,3970,1262,293,50,647,789,437,303,599,997,1916,2438,2141,2066,3311,4426,2350,1004,274,71,44,26,15,5,0.0
다정약국,서울특별시 강남구 논현로175길 7 1층 101호 (신사동),강남구,신사동,0,14,26.2,186.9,3,32,1697,14,558,12,363,8949,11905,21633,29913,29358,30912,38691,38412,37970,47589,49668,47849,35015,32680,28646,20939,15041,8971,4239,1760,484,102,56,74,54,114,521,971,863,661,467,331,288,253,127,85,32,21,7,5,2,0,1.0
연세약국,서울특별시 강북구 도봉로 345 1층 (수유동),강북구,수유3동,0,6.9,26.4,382.6,1,10,223,1,127,0,98,33204,5398,8069,9560,10855,18135,22433,18722,17713,20601,22467,26777,24606,26141,20960,16330,13117,9290,3930,1235,266,48,77,70,36,72,676,541,453,366,282,207,224,270,178,70,39,17,5,4,3,1,2.0
서초무지개약국,서울특별시 서초구 효령로 403 4층 410호 (서초동),서초구,서초2동,0,18.5,16.3,88.3,1,13,661,4,311,5,244,17525,11340,18871,22917,21299,23149,27767,28449,29408,36474,37571,36106,26769,25957,21831,15719,11585,7079,3516,1380,383,102,95,166,147,104,241,485,519,491,439,388,315,219,118,59,24,16,8,5,1,2,1.0
다나은약국,서울특별시 동대문구 홍릉로 3 1층 (청량리동),동대문구,청량리동,0,9.2,40.6,442.1,4,13,256,4,149,1,150,17027,8355,10683,10902,12008,26086,30379,24951,23639,24752,23938,27152,24901,26384,21198,15270,12382,8748,4011,1250,273,68,146,157,86,401,5968,4088,1325,762,518,399,501,539,296,129,47,21,13,12,4,1,0.0
보문한약국,서울특별시 동대문구 약령중앙로 11 1층 (제기동),동대문구,제기동,0,8.4,30.2,359,4,13,256,4,149,1,150,22896,8355,10683,10902,12008,26086,30379,24951,23639,24752,23938,27152,24901,26384,21198,15270,12382,8748,4011,1250,273,68,146,157,86,401,5968,4088,1325,762,518,399,501,539,296,129,47,21,13,12,4,1,0.0
서초자이약국,서울특별시 서초구 효령로 403 204호 (서초동),서초구,서초2동,0,18.5,16.3,88.3,1,13,661,4,311,5,244,17525,11340,18871,22917,21299,23149,27767,28449,29408,36474,37571,36106,26769,25957,21831,15719,11585,7079,3516,1380,383,102,95,166,147,104,241,485,519,491,439,388,315,219,118,59,24,16,8,5,1,2,1.0
조은약국,서울특별시 강북구 도봉로 317 덕산빌딩 2층 (수유동),강북구,수유3동,0,6.9,26.4,382.6,1,10,223,1,127,0,98,33204,5398,8069,9560,10855,18135,22433,18722,17713,20601,22467,26777,24606,26141,20960,16330,13117,9290,3930,1235,266,48,77,70,36,72,676,541,453,366,282,207,224,270,178,70,39,17,5,4,3,1,2.0
애프터팜 윤약국,서울특별시 관악구 관악로 174 102호 (봉천동),관악구,낙성대동,0,6.7,14,208.1,1,11,324,1,200,2,153,7744,8031,10865,12083,14773,38578,71294,51406,34514,33015,31877,35108,31608,33158,26589,21136,16034,10708,4383,1399,313,74,265,296,170,262,1678,2182,1669,1225,896,794,1253,1645,949,394,133,39,18,16,8,3,0.0
송파시그니처약국,서울특별시 송파구 거마로 56 상가동 2층 9호 (거여동 송파시그니처롯데캐슬),송파구,거여2동,0,14.1,26.6,187.9,2,17,574,4,327,4,252,36472,19774,28039,29574,28582,37440,51984,53515,52862,56504,52053,54849,47846,49082,39201,25872,17325,10400,5351,2071,541,96,114,135,90,69,288,644,754,774,536,426,616,660,342,138,55,16,13,5,1,1,0.0
