,EMD_CD,EMD_KOR_NM,SIG_KOR_NM,약국명,경도,위도,geometry
0,11530107,개봉동,구로구,365열린약국,126.858255129585,37.49399577225,POINT (943271.2714136105 1944053.5770297425)
1,11560109,영등포동8가,영등포구,365열린약국,126.905231110596,37.5267660967496,POINT (947446.859023767 1947661.9855127297)
2,11350105,상계동,노원구,365정화약국,127.06151518884,37.6561602782805,POINT (961323.0565662372 1961941.8011431345)
3,11230105,답십리동,동대문구,365종로약국,127.057408838132,37.5702886659296,POINT (960915.9332879356 1952416.422623016)
4,11530103,가리봉동,구로구,W스토아청와약국,126.890907692931,37.4804629735182,POINT (946147.9961839769 1942533.0150745534)
5,11380103,불광동,은평구,가까운약국,126.929406673052,37.611415859944,POINT (949640.031794677 1957040.2514908111)
6,11680106,대치동,강남구,강남새천년온누리약국,127.063671536864,37.500056331752,POINT (961432.8263687667 1944621.9701276568)
7,11680101,역삼동,강남구,강남웰약국,127.026630556235,37.5012350392984,POINT (958159.4045527707 1944768.5633061368)
8,11740108,성내동,강동구,강동태평양약국,127.135215245847,37.5263393754437,POINT (967767.9209737381 1947510.9886814386)
9,11500102,등촌동,강서구,강서홈약국,126.854819012937,37.5584699599397,POINT (943016.589071069 1951208.7402152051)
10,11215107,화양동,광진구,건대가온약국,127.075047996201,37.5465622772815,POINT (962461.7076249516 1949776.9189004775)
11,11410116,창천동,서대문구,고래약국,126.936119192554,37.5554417865984,POINT (950195.1992613503 1950826.5944438209)
12,11650101,방배동,서초구,곰돌이스타약국,126.99044929507,37.4933691648347,POINT (954956.6377056639 1943912.5939173945)
13,11620102,신림동,관악구,관악수약국,126.933728705409,37.4706742857459,POINT (949927.4562575454 1941423.3925173832)
14,11620102,신림동,관악구,광장온누리약국,126.937396243678,37.470531403239,POINT (950251.666406778 1941405.5969827606)
15,11530102,구로동,구로구,구로2호선약국,126.901494378412,37.4853149237865,POINT (947087.4333081981 1943065.307016144)
16,11650108,서초동,서초구,굿약국,127.025991620906,37.5000209859136,POINT (958102.2510669237 1944634.1560444394)
17,11215107,화양동,광진구,그랜드약국,127.069091781451,37.5433274515823,POINT (961933.9158175016 1949420.4282307846)
18,11560104,영등포동3가,영등포구,금강온누리약국,126.906405739524,37.5173475935548,POINT (947544.0551445573 1946616.3976926787)
19,11110174,창신동,종로구,금왕약국,127.011605617848,37.5738773826824,POINT (956873.2161280371 1952834.610119813)
20,11740105,길동,강동구,길동보룡약국,127.140227539906,37.5376937056369,POINT (968215.6234561825 1948768.975603578)
21,11350105,상계동,노원구,나현약국,127.069627772344,37.6564312891382,POINT (962038.7756823627 1961968.5540876323)
22,11380108,역촌동,은평구,노벨온누리약국,126.915361951282,37.5992561452512,POINT (948392.0480216971 1955698.805353913)
23,11680108,논현동,강남구,논현밝은약국,127.024075389189,37.5076427273665,POINT (957937.1500227661 1945480.5951283926)
24,11710107,가락동,송파구,농수산약국,127.108713599026,37.4945376921828,POINT (965411.5765002295 1943992.2094917663)
25,11710107,가락동,송파구,뉴프라임약국,127.117732564407,37.4942820826033,POINT (966208.711172588 1943960.575439881)
26,11440104,도화동,마포구,대교약국,126.947410163519,37.5398078193128,POINT (951182.2879441124 1949086.1631010803)
27,11560101,영등포동,영등포구,대명약국,126.906924015661,37.514267292284,POINT (947587.7013545481 1946274.36638149)
28,11140118,남대문로5가,중구,대우사약국,126.974289349084,37.5585302008191,POINT (953568.522124159 1951149.6981062833)
29,11590107,사당동,동작구,대일약국,126.980654330359,37.4876999085816,POINT (954087.3043748141 1943288.3580822328)
30,11215105,자양동,광진구,더샾스타시티약국,127.072996184863,37.5385582736952,POINT (962276.426536273 1948889.7419772616)
31,11200107,행당동,성동구,더밝은약국,127.039764010449,37.5611709103568,POINT (959352.8022143334 1951412.3404423606)
32,11200111,금호동3가,성동구,도원약국,127.021067732156,37.548419581186,POINT (957694.3635079147 1950005.8984034664)
33,11590107,사당동,동작구,동광약국,126.981882930793,37.4882917952892,POINT (954196.2808332162 1943353.4256496124)
34,11560104,영등포동3가,영등포구,동보약국,126.905950555009,37.5183443720949,POINT (947504.52840021 1946727.2387237193)
35,11230104,전농동,동대문구,동아약국,127.045864474612,37.5753105451014,POINT (959899.168152668 1952978.4389512364)
36,11740109,천호동,강동구,동현약국,127.14158476263,37.5452497564882,POINT (968338.7241522248 1949606.816137639)
37,11440120,서교동,마포구,롱약국,126.914638180431,37.5501152068908,POINT (948294.1910133195 1950247.2350474582)
38,11230102,용두동,동대문구,마장백화점약국,127.038769042278,37.5762685931865,POINT (959273.1494002386 1953087.781641085)
39,11470102,목동,양천구,마트온누리약국,126.87035534357,37.5260837006075,POINT (944364.7354315947 1947606.3349009228)
40,11560121,문래동3가,영등포구,맑은약국,126.895880210522,37.5182396969791,POINT (946614.5404433939 1946721.2926414316)
41,11620102,신림동,관악구,맘이편한약국,126.929130181978,37.4861839329808,POINT (949531.2602644704 1943146.5447350636)
42,11440123,망원동,마포구,망원시장약국,126.90705059272,37.5553763502947,POINT (947627.6447089412 1950835.1339060564)
43,11440127,상암동,마포구,매일여는약국,126.889782954548,37.5794283422818,POINT (946119.7910438142 1953513.3564248965)
44,11470102,목동,양천구,매일여는약국,126.871566699077,37.5274862615567,POINT (944472.8113277527 1947761.2260374508)
45,11470101,신정동,양천구,메디팜신정교약국,126.87378222211,37.5188446169805,POINT (944662.1901985348 1946801.1747899856)
46,11590101,노량진동,동작구,메디팜엔비약국,126.94273087355,37.5134455696712,POINT (950751.571542909 1946163.855861124)
47,11260101,면목동,중랑구,면목백화점약국,127.093572178923,37.5810577406108,POINT (964114.6060179975 1953596.7681892067)
48,11740101,명일동,강동구,명일마트종로약국,127.155613136912,37.5547067235109,POINT (969581.7941038649 1950651.379275969)
49,11620101,봉천동,관악구,믿음약국,126.956980379831,37.4786880790034,POINT (951988.6290143682 1942300.3618931714)
50,11650106,잠원동,서초구,반포프라자약국,127.019505342,37.5108041146939,POINT (957535.0317122624 1945833.384198545)
51,11260106,신내동,중랑구,백세약국,127.095563510586,37.6066828647187,POINT (964302.6735023569 1956438.9919583634)
52,11680106,대치동,강남구,베스트약국,127.056775209344,37.4978090439394,POINT (960822.0811260827 1944375.4965040893)
53,11620103,남현동,관악구,사당365약국,126.981163275417,37.4759416445717,POINT (954125.1095222363 1941983.6071251363)
54,11230109,휘경동,동대문구,삼익약국,127.057998011367,37.5917283319164,POINT (960979.1532464946 1954794.8019387443)
55,11170117,원효로3가,용산구,삼정약국,126.955835623757,37.533487419061,POINT (951922.570628186 1948380.6076881026)
56,11350106,중계동,노원구,상계1번약국,127.073836481929,37.6603143936643,POINT (962411.9668077994 1962397.67534325)
57,11200122,용답동,성동구,새대우약국,127.053475024727,37.561850343971,POINT (960564.0984134967 1951481.8785156482)
58,11260105,망우동,중랑구,새시장약국,127.099655888973,37.5960286938237,POINT (964658.8466085882 1955255.414222378)
59,11350106,중계동,노원구,새하늘약국,127.064166413458,37.6459751467144,POINT (961551.6606044519 1960810.7082906626)
60,11500102,등촌동,강서구,새한약국,126.862143168452,37.5454022015772,POINT (943653.6395182441 1949754.5171835127)
61,11350103,공릉동,노원구,샘물약국,127.085787136589,37.6254237209193,POINT (963448.9391647117 1958521.9690055912)
62,11680106,대치동,강남구,서울메디약국,127.051662924506,37.5006107262726,POINT (960371.669756627 1944688.4652572153)
63,11170107,동자동,용산구,서울중앙약국,126.970484281315,37.549118478341,POINT (953226.5689250135 1950107.402150833)
64,11590101,노량진동,동작구,설약국,126.939619133262,37.5132730094169,POINT (950476.4564753909 1946146.3446460015)
65,11200107,행당동,성동구,설약국,127.03923488132,37.5609489015845,POINT (959305.9494881814 1951387.9387124204)
66,11260104,묵동,중랑구,성지약국,127.082197810346,37.6175407449093,POINT (963128.3144774747 1957648.7907754625)
67,11290139,석관동,성북구,세계로약국,127.064484472177,37.613453428334,POINT (961562.9736658266 1957202.4263442804)
68,11680111,세곡동,강남구,세곡온누리약국,127.098768291246,37.466769857948,POINT (964519.313110999 1940915.2638599528)
69,11290116,동선동1가,성북구,세원약국,127.018827660017,37.5937738074169,POINT (957522.2563923055 1955038.733177526)
70,11260103,중화동,중랑구,세화당약국,127.075950973413,37.5959056835653,POINT (962566.1779671775 1955250.9516491252)
71,11710108,문정동,송파구,송파24약국,127.124913859704,37.4796683841344,POINT (966837.0590068853 1942336.7338186929)
