,EMD_KOR_NM,사업장명,도로명전체주소,X,Y,geometry
0,연동,낙산약국,"제주특별자치도 제주시 도령로 87, 현대오피스텔 1층 106,107호 (연동)",126.487275468846,33.4908688308155,POINT (126.487275468846 33.4908688308155)
1,법환동,월드컵약국,"제주특별자치도 서귀포시 일주동로 9213, GS25 1층 6호 (법환동)",126.508491059708,33.248712252659,POINT (126.508491059708 33.248712252659)
2,삼양이동,삼양약국,"제주특별자치도 제주시 일주동로 366, 1층 (삼양이동)",126.584080157623,33.5208841725461,POINT (126.584080157623 33.5208841725461)
3,노형동,천지약국,"제주특별자치도 제주시 1100로 3347, 1층 (노형동)",126.479605628771,33.4848372184625,POINT (126.479605628771 33.4848372184625)
4,도남동,해모로약국,"제주특별자치도 제주시 연삼로 305, 101호 (도남동)",126.525167130007,33.4923853689194,POINT (126.525167130007 33.4923853689194)
5,삼양이동,푸른약국,"제주특별자치도 제주시 화삼북로 63, 삼화빌딩 1층 102호 (삼양이동)",126.579866759828,33.5174991708227,POINT (126.579866759828 33.5174991708227)
6,애월읍,곰온누리약국,"제주특별자치도 제주시 애월읍 하귀9길 2, 1층 106호",126.414565502113,33.4864182898895,POINT (126.414565502113 33.4864182898895)
7,이도이동,시온온누리약국,"제주특별자치도 제주시 중앙로 319-1, 1층 (이도이동)",126.535990432468,33.4927078468873,POINT (126.535990432468 33.4927078468873)
8,구좌읍,월정온누리약국,"제주특별자치도 제주시 구좌읍 해맞이해안로 486, 월정애비뉴 101호",126.798870946339,33.5547235169193,POINT (126.798870946339 33.5547235169193)
9,서홍동,광장약국,제주특별자치도 서귀포시 중앙로 113 (서홍동),126.560488355674,33.25480137328,POINT (126.560488355674 33.25480137328)
10,이도일동,365건강온누리약국,"제주특별자치도 제주시 서광로 297, 1층 (이도일동)",126.528208185944,33.500735275902,POINT (126.528208185944 33.500735275902)
11,애월읍,대동약국,"제주특별자치도 제주시 애월읍 곽지7길 1, 2층",126.308399811765,33.4500523794457,POINT (126.308399811765 33.4500523794457)
12,노형동,더건강한약국,"제주특별자치도 제주시 한라대학로 77-1, 1층 (노형동)",126.478643431417,33.476515893416,POINT (126.478643431417 33.476515893416)
13,서호동,연이수온누리약국,"제주특별자치도 서귀포시 서호남로 91, 1층 105호 (서호동, 서귀포혁신 사랑으로 부영아파트)",126.52228132127,33.2531401460418,POINT (126.52228132127 33.2531401460418)
14,노형동,건강드림약국,"제주특별자치도 제주시 도령로 1, 1층 (노형동)",126.479321267482,33.486812673941,POINT (126.479321267482 33.486812673941)
15,구좌읍,구좌약국,"제주특별자치도 제주시 구좌읍 구좌로 40, 1층",126.855667474488,33.5232790282259,POINT (126.855667474488 33.5232790282259)
16,이도이동,둘셋약국,"제주특별자치도 제주시 연삼로 395, 1층 (이도이동)",126.533757635336,33.4951718158437,POINT (126.533757635336 33.4951718158437)
17,애월읍,핑크약국,"제주특별자치도 제주시 애월읍 애월로 109, 1층",126.319188072199,33.4648651779604,POINT (126.319188072199 33.4648651779604)
18,서귀동,다나약국,제주특별자치도 서귀포시 일주동로 8675 (서귀동),126.561689408622,33.2530177709473,POINT (126.561689408622 33.2530177709473)
19,이도이동,더한빛약국,"제주특별자치도 제주시 중앙로 380, 1층 (이도이동)",126.539386069529,33.4882533859825,POINT (126.539386069529 33.4882533859825)
20,노형동,정존약국,"제주특별자치도 제주시 고사마루길 2, 1층 (노형동)",126.472234040441,33.4802908734374,POINT (126.472234040441 33.4802908734374)
21,노형동,두리약국,"제주특별자치도 제주시 수덕로 41, 1층 (노형동)",126.472784599759,33.4861483341127,POINT (126.472784599759 33.4861483341127)
22,연동,한라프라자약국,"제주특별자치도 제주시 삼무로 46, 1층 (연동)",126.491545207446,33.4896484476898,POINT (126.491545207446 33.4896484476898)
23,외도일동,큰곰약국,"제주특별자치도 제주시 우평로 338, 1층 (외도일동)",126.430534621471,33.4841944587667,POINT (126.430534621471 33.4841944587667)
24,노형동,진약국,"제주특별자치도 제주시 연북로 28, 1층 (노형동)",126.484364060661,33.4816780028989,POINT (126.484364060661 33.4816780028989)
25,노형동,으뜸약국,"제주특별자치도 제주시 노형로 376, 1층 (노형동)",126.476126253122,33.483414723833,POINT (126.476126253122 33.483414723833)
26,연동,오름아래약국,"제주특별자치도 제주시 삼무로 18, 제주연동 하우스디어반 105호 (연동)",126.488660583969,33.4895983510098,POINT (126.488660583969 33.4895983510098)
27,화북일동,우리아빠약국,"제주특별자치도 제주시 일주동로 255, 1층 (화북일동)",126.572210822067,33.5206342191569,POINT (126.572210822067 33.5206342191569)
28,서귀동,김 약 국,제주특별자치도 서귀포시 중정로 54-1 (서귀동),126.562227565513,33.247510255393,POINT (126.562227565513 33.247510255393)
29,이호이동,지아약국,"제주특별자치도 제주시 억삼길 35-57, 가동 1층 4호 (이호이동)",126.471259738003,33.4917415285373,POINT (126.471259738003 33.4917415285373)
30,일도일동,유진약국,제주특별자치도 제주시 관덕로 60 (일도일동),126.525711640813,33.5129407733201,POINT (126.525711640813 33.5129407733201)
31,삼도이동,관덕정약국,제주특별자치도 제주시 관덕로 18 (삼도이동),126.52127964585,33.5128949650123,POINT (126.52127964585 33.5128949650123)
32,삼도일동,서사라튼튼약국,제주특별자치도 제주시 서사로 137 (삼도일동),126.520055246037,33.5001420911967,POINT (126.520055246037 33.5001420911967)
33,이도일동,연세익약국,"제주특별자치도 제주시 중앙로 175, 1층 (이도일동)",126.527366850279,33.503565682999,POINT (126.527366850279 33.503565682999)
34,아라일동,민성약국,"제주특별자치도 제주시 중앙로 543, 1층 (아라일동)",126.545746368652,33.4750146577237,POINT (126.545746368652 33.4750146577237)
35,한경면,신창약국,제주특별자치도 제주시 한경면 두신로 75,126.182806606152,33.34985647903,POINT (126.182806606152 33.34985647903)
36,아라일동,아라동대한약국,제주특별자치도 제주시 아란13길 10 (아라일동),126.546426257734,33.4691172749235,POINT (126.546426257734 33.4691172749235)
37,도련일동,다정온누리약국,"제주특별자치도 제주시 건주로 33, 1층 (도련일동)",126.580996759829,33.5164443483682,POINT (126.580996759829 33.5164443483682)
38,노형동,노형한마음약국,"제주특별자치도 제주시 도령로 7, 1층 (노형동, 금성빌딩)",126.48011049475,33.4866698393292,POINT (126.48011049475 33.4866698393292)
39,삼도일동,우리약국,제주특별자치도 제주시 서광로 195 (삼도일동),126.517434116968,33.5001905139285,POINT (126.517434116968 33.5001905139285)
40,외도일동,착한약국,"제주특별자치도 제주시 우정로15길 5, 1층 (외도일동)",126.431727067918,33.4860933595521,POINT (126.431727067918 33.4860933595521)
41,아라일동,아라종합약국,"제주특별자치도 제주시 아란13길 20, 101호 (아라일동)",126.545543717565,33.4690719379462,POINT (126.545543717565 33.4690719379462)
42,노형동,은우약국,"제주특별자치도 제주시 1100로 3283, 1층 (노형동, 영화빌딩)",126.481797861927,33.4794043922342,POINT (126.481797861927 33.4794043922342)
43,한림읍,현재약국,제주특별자치도 제주시 한림읍 한림로 650,126.262828036388,33.4136857622942,POINT (126.262828036388 33.4136857622942)
44,아라일동,킴스약국,"제주특별자치도 제주시 중앙로 552, 1층 (아라일동)",126.54535367091,33.4742347791693,POINT (126.54535367091 33.4742347791693)
45,노형동,노형온누리약국,제주특별자치도 제주시 월랑로 3 (노형동),126.478475118898,33.4864706584836,POINT (126.478475118898 33.4864706584836)
46,조천읍,대한약국,제주특별자치도 제주시 조천읍 조함해안로 488-6,126.664635344258,33.542303837388,POINT (126.664635344258 33.542303837388)
47,연동,신한온누리약국,제주특별자치도 제주시 도령로 74 (연동),126.486332954052,33.4897415444847,POINT (126.486332954052 33.4897415444847)
48,일도이동,해오름약국,제주특별자치도 제주시 동광로 107 (일도이동),126.538755973917,33.5063922715212,POINT (126.538755973917 33.5063922715212)
49,구좌읍,세화약국,제주특별자치도 제주시 구좌읍 세화10길 1,126.858782714682,33.5208355861818,POINT (126.858782714682 33.5208355861818)
50,애월읍,하귀약국,제주특별자치도 제주시 애월읍 하귀로 35,126.40098470745,33.4803467441823,POINT (126.40098470745 33.4803467441823)
51,도남동,만년약국,제주특별자치도 제주시  서광로  268 (도남동),126.525191367395,33.4997533682016,POINT (126.525191367395 33.4997533682016)
52,구좌읍,김녕약국,제주특별자치도 제주시 구좌읍 김녕로 114,126.75021550171,33.5545534998695,POINT (126.75021550171 33.5545534998695)
53,용담이동,용담온누리약국,제주특별자치도 제주시 용담로 46 (용담이동),126.507652346153,33.5127685258347,POINT (126.507652346153 33.5127685258347)
54,외도일동,드림약국,제주특별자치도 제주시 우정로 63 (외도일동),126.431118350237,33.4871363196766,POINT (126.431118350237 33.4871363196766)
55,이도이동,늘좋은약국,제주특별자치도 제주시 중앙로 284 (이도이동),126.533002564798,33.4950673629048,POINT (126.533002564798 33.4950673629048)
56,아라일동,제주누리약국,제주특별자치도 제주시 중앙로 616 (아라일동),126.547021236972,33.4687713436155,POINT (126.547021236972 33.4687713436155)
57,연동,홍익한약국,"제주특별자치도 제주시 노연로 87, 102호 (연동, 연동ABC주상복합)",126.489456041918,33.486048276059,POINT (126.489456041918 33.486048276059)
58,일도이동,최약국,"제주특별자치도 제주시 연삼로 548, 1층 (일도이동)",126.547453553136,33.5023973829354,POINT (126.547453553136 33.5023973829354)
59,도련일동,별약국,"제주특별자치도 제주시 건주로 27, 1층 102호 (도련일동)",126.5811410102,33.5170882126091,POINT (126.5811410102 33.5170882126091)
