학교,자치구,남녀공학구분,주소,X,Y
제주대학교사범대학부설고등학교,제주시,남여공학,제주특별자치도 제주시 용담로 65,126.5102401196,33.5137606145563
대정고등학교,서귀포시,남,제주특별자치도 서귀포시 대정읍 일주서로2498번길 21,126.259500374588,33.2319799989913
대정여자고등학교,서귀포시,여,제주특별자치도 서귀포시 대정읍 대한로88번길 82-22,126.253314209595,33.2291887736802
서귀포고등학교,서귀포시,남,제주특별자치도 서귀포시 중앙로 140,126.563108014727,33.2570172520025
서귀포산업과학고등학교,서귀포시,남여공학,제주특별자치도 서귀포시 516로 501,126.594767157466,33.2976458557396
서귀포여자고등학교,서귀포시,여,제주특별자치도 서귀포시 태평로 80,126.530797586105,33.2434957468657
성산고등학교,서귀포시,남여공학,제주특별자치도 서귀포시 성산읍 한도로 79-17,126.91516666622,33.4702032373211
세화고등학교,제주시,남여공학,제주특별자치도 제주시 구좌읍 세종로 26,126.862739001471,33.516197330754
애월고등학교,제주시,남여공학,제주특별자치도 제주시 애월읍 일주서로 6372-20,126.333396217069,33.4602188962729
제주고등학교,제주시,남여공학,제주특별자치도 제주시 1100로 3213,126.481670922303,33.4723734166954
제주과학고등학교,제주시,남여공학,제주특별자치도 제주시 산록북로 421-1,126.531444515992,33.4266199894809
제주여자상업고등학교,제주시,여,제주특별자치도 제주시 동문로 89-1,126.536352998468,33.514660180355
제주외국어고등학교,제주시,남여공학,제주특별자치도 제주시 애월읍 고성남길 34,126.425979138844,33.4339757479804
제주제일고등학교,제주시,남,제주특별자치도 제주시 진군길 22,126.480705328028,33.4800295820408
제주중앙여자고등학교,제주시,여,제주특별자치도 제주시 구남동5길 11,126.53948600477,33.4913075478492
중문고등학교,서귀포시,남여공학,제주특별자치도 서귀포시 일주서로570번길 19,126.446894881355,33.254864833938
표선고등학교,서귀포시,남여공학,제주특별자치도 서귀포시 표선면 표선중앙로 22-15,126.826996013609,33.3311572650654
한국뷰티고등학교,제주시,남여공학,제주특별자치도 제주시 한경면 용고로 70,126.181867967975,33.3000775772714
한림고등학교,제주시,남여공학,제주특별자치도 제주시 한림읍 월계로 74,126.258319827377,33.3977513606307
한림공업고등학교,제주시,남여공학,제주특별자치도 제주시 한림읍 한림중앙로 87,126.26991230369,33.4065260376529
함덕고등학교,제주시,남여공학,제주특별자치도 제주시 조천읍 신흥로 9,126.651437272661,33.5445837587304
남녕고등학교,제주시,남여공학,제주특별자치도 제주시 도령로 55,126.481980723796,33.4900568362415
남주고등학교,서귀포시,남,제주특별자치도 서귀포시 동홍로303번길 14,126.564967701836,33.2765216557037
대기고등학교,제주시,남,제주특별자치도 제주시 번영로 453-6,126.593279426577,33.4925098054592
