NO,병원명,업무구분,대표전화,주소,월요일 진료,화요일 진료,수요일 진료,목요일 진료,금요일 진료,토요일 진료,일요일 진료,공휴일 진료
1,그랜드치과의원,응급의료기관 이외 > 치과의원,064-805-1004,제주특별자치도 서귀포시 일주동로 8723 (서귀동),09:30~18:30,09:30~18:30,09:30~20:30,09:30~18:30,09:30~18:30,09:30~13:30,-,-
2,강한의원,응급의료기관 이외 > 한의원,064-763-8275,제주특별자치도 서귀포시 서문로 2-1(서귀동),09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~12:30,-,-
3,서귀포365일의원,응급의료기관 이외 > 의원,064-733-3650,"제주특별자치도 서귀포시 서문로 2, 지하1층 1층 (서귀동)",08:00~21:30,08:00~21:30,08:00~21:30,08:00~21:30,08:00~21:30,08:00~21:30,09:00~21:30,08:00~21:30
4,남원의원,응급의료기관 이외 > 의원,064-764-4156,제주특별자치도 서귀포시 남원읍 태위로 636,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~12:00,-,08:30~12:00
5,새론의원,응급의료기관 이외 > 의원,064-738-8119,제주특별자치도 서귀포시 신서로48번길 31 (강정동),08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~13:00,-,-
6,바른손치과의원,응급의료기관 이외 > 치과의원,064-767-2877,"제주특별자치도 서귀포시 일주동로 8621, 2층 (동홍동)",09:30~20:00,09:30~20:00,09:30~20:00,-,09:30~20:00,09:30~13:00,-,09:30~13:00
7,서귀포열린병원,응급의료기관 이외 > 병원,064-762-8001,제주특별자치도 서귀포시 일주동로 8638 (동홍동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~18:00,09:00~22:00
8,킴스연합의원,응급의료기관 이외 > 의원,064-901-9021,제주특별자치도 서귀포시 동홍중앙로 49 (동홍동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:00,-,-
9,선치과의원,응급의료기관 이외 > 치과의원,064-738-2811,"제주특별자치도 서귀포시 천제연로 194, 2층 (중문동)",09:00~18:00,09:00~18:00,09:00~20:00,09:00~18:00,09:00~18:00,09:00~12:00,-,-
10,스타치과교정과치과의원,응급의료기관 이외 > 치과의원,064-767-9898,제주특별자치도 서귀포시 일주동로 8671 (서귀동),10:00~19:00,10:00~19:00,14:00~20:30,10:00~19:00,10:00~19:00,09:00~14:00,-,-
11,오지영한의원,응급의료기관 이외 > 한의원,064-732-1075,제주특별자치도 서귀포시 태평로512번길 4 (동홍동),09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~13:00,-,-
12,양승철소아청소년과의원,응급의료기관 이외 > 의원,064-762-8275,"제주특별자치도 서귀포시 중정로 50, 3,4층 (서귀동)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~18:00,08:30~20:00,08:30~16:00,08:30~12:30,08:30~12:30
13,대정의원,응급의료기관 이외 > 의원,064-792-7588,"제주특별자치도 서귀포시 대정읍 하모상가로 46, 4층",08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~12:00,-,-
14,현 비뇨의학과 의원,응급의료기관 이외 > 의원,064-794-0080,"제주특별자치도 서귀포시 대정읍 하모상가로 49, 4층",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
15,표선연세의원,응급의료기관 이외 > 의원,064-787-7123,제주특별자치도 서귀포시 표선면 표선관정로 97,07:30~18:00,07:30~18:00,07:30~18:00,07:30~18:00,07:30~18:00,07:30~14:00,07:30~12:00,07:30~12:00
16,중문의원,응급의료기관 이외 > 의원,064-738-8091,제주특별자치도 서귀포시 중문상로 36 (중문동),08:00~18:00,08:00~18:00,08:00~12:00,08:00~18:00,08:00~18:00,08:00~12:00,-,-
17,우리동홍의원,응급의료기관 이외 > 의원,064-732-7533,"제주특별자치도 서귀포시 태평로 505(동홍동, 가나노블휘닉스)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~12:30,09:00~18:30,09:00~12:30,-,-
18,비포앤애프터의원,응급의료기관 이외 > 의원,064-901-0101,"제주특별자치도 서귀포시 안덕면 신화역사로304번길 38, B1층 50호,52호",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~21:00,10:00~21:00,10:00~19:00,-
19,참사랑치과의원,응급의료기관 이외 > 치과의원,064-763-2875,제주특별자치도 서귀포시 중앙로48번길 42 (서귀동),09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,-,-,-
20,서귀포중앙정형외과의원,응급의료기관 이외 > 의원,064-764-8279,"제주특별자치도 서귀포시 일주동로 8666, 삼강빌딩 2층 (동홍동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
