"약국ID","주소","약국명","대표전화1","진료시간(월요일)C","진료시간(화요일)C","진료시간(수요일)C","진료시간(목요일)C","진료시간(금요일)C","진료시간(토요일)C","진료시간(일요일)C","진료시간(공휴일)C","진료시간(월요일)S","진료시간(화요일)S","진료시간(수요일)S","진료시간(목요일)S","진료시간(금요일)S","진료시간(토요일)S","진료시간(일요일)S","진료시간(공휴일)S","우편번호1","우편번호2","병원경도","병원위도","작업일시"
"C1102141","서울특별시 용산구 청파로 333 (청파동1가)","가정약국","02-713-6200","2100","2100","2100","2100","2100","2000","1800","2100","0900","0900","0900","0900","0900","0900","1200","0900","043","04","126.96969465329081","37.54932667929581","2022-07-20 17:41:59.0"
"C1102140","서울특별시 양천구 목동중앙본로 128-2 1층 (목동)","가정약국","02-2648-5110","2100","2100","2100","2100","2100","1800","1300","1300","0900","0900","0900","0900","0900","0900","0900","0900","079","68","126.8720453427675","37.54670960810209","2022-07-20 17:41:59.0"
"C1107566","서울특별시 동작구 등용로 115 101호 (대방동 엘리시아빌딩)","가족건강약국","02-822-9095","2000","2000","2000","2000","2000","2000","2000","2000","0800","0800","0800","0800","0800","0900","0900","0900","069","42","126.9317558309104","37.511447168120995","2022-07-20 17:41:59.0"
"C1103520","서울특별시 강북구 오패산로52길 39 (미아동)","가족사랑약국","02-945-3720","1700","1700","1700","1700","1700","1230","2000","2000","0900","0900","0900","0900","0900","0900","0900","0900","011","52","127.03207930594807","37.62469690278515","2022-07-20 17:41:59.0"
"C1107449","서울특별시 서대문구 모래내로 137 1층 (남가좌동)","가좌진약국","02-372-7749","1930","1930","1930","1930","1930","1430","2000","2000","0900","0900","0900","0900","0900","0900","0900","0900","037","12","126.9169246599","37.5690980464","2022-07-20 17:41:59.0"
"C1108317","서울특별시 은평구 통일로 1031 1층 102호 (진관동)","가톨릭정문약국","02-389-9846","1830","1830","1830","1830","1830","1330","2000","2000","0830","0830","0830","0830","0830","0830","0900","0900","033","12","126.91664329577098","37.634632278285586","2022-07-20 17:41:59.0"
"C1103202","서울특별시 송파구 문정로13길 11-10 (가락동)","감람약국","02-443-7173","1900","1900","1900","1900","1900","1900","2000","2000","1230","1230","1230","1230","1230","1230","0900","0900","057","82","127.13493765634237","37.4940937356484","2022-07-20 17:41:59.0"
"C1102142","서울특별시 강남구 압구정로 336  (신사동)","감마약국","02-547-8990","2100","2100","2100","2100","2100","2000","2000","2000","0900","0900","0900","0900","0900","0900","0900","0900","060","18","127.0384784246","37.528021051","2022-07-20 17:41:59.0"
"C1102143","서울특별시 송파구 백제고분로41길 11  (송파동)","감초당약국","02-412-0306","2100","2100","2100","2100","2100","2100","2100","2000","1100","1100","1100","1100","1100","1100","1400","0900","056","26","127.10799783341838","37.50704500792004","2022-07-20 17:41:59.0"
"C1100071","서울특별시 동대문구 한천로 242 1층 (전농동)","감초당온누리약국","02-438-1314","2100","2100","2100","2100","2100","1600","2100","2000","0900","0900","0900","0900","0900","0900","1400","0900","025","12","127.06860786008057","37.58249972071713","2022-07-20 17:41:59.0"
"C1102148","서울특별시 강서구 강서로 38","감초약국","02-2602-5884","2100","2100","2100","2100","2100","2100","2100","2000","1000","0900","0900","0900","0900","0900","1400","0900","077","60","126.847290144095","37.53132999995104","2022-07-20 17:41:59.0"
"C1109043","서울특별시 강남구 학동로 지하 346 강남구청역 B1층 111호 (삼성동)","강남구청역약국","02-511-6252","2100","2100","2100","2100","2100","1700","1700","1700","0800","0800","0800","0800","0800","0900","0900","0900","060","99","127.04130142966","37.5171892352971","2022-07-20 17:41:59.0"
