NO,병원명,업무구분,대표전화,주소,월요일 진료,화요일 진료,수요일 진료,목요일 진료,금요일 진료,토요일 진료,일요일 진료,공휴일 진료
1,경희미르애한의원,응급의료기관 이외 > 한의원,064-722-7272,제주특별자치도 제주시 동화로 10 (화북일동),08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~15:00,08:30~15:00,08:30~15:00
2,서울고마운정형외과의원,응급의료기관 이외 > 의원,064-712-3587,"제주특별자치도 제주시 신형로 51, 지하1층,3층,4층 (노형동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:00,-,-
3,메디컬오한의원,응급의료기관 이외 > 한의원,064-711-1073,"제주특별자치도 제주시 1100로 3324, 201호 (노형동)",10:30~19:00,10:30~21:00,10:30~21:00,-,10:30~19:00,10:30~15:00,-,-
4,911 매일의원,응급의료기관 이외 > 의원,064-724-0911,제주특별자치도 제주시 중앙로 286 (이도이동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00
5,김민범한의원,응급의료기관 이외 > 한의원,064-746-7975,"제주특별자치도 제주시 노형로 373, 2, 3층 (노형동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,09:00~15:00,09:00~15:00
6,노형그랜드치과의원,응급의료기관 이외 > 치과의원,064-729-0000,"제주특별자치도 제주시 신형로 2, 1~4층 (노형동)",10:00~20:00,10:00~19:00,10:00~20:00,10:00~19:00,10:00~19:00,10:00~14:00,-,-
7,미소봄치과교정과치과의원,응급의료기관 이외 > 치과의원,064-755-7272,"제주특별자치도 제주시 동광로 4, 3층 (이도이동)",-,10:00~18:30,10:00~21:00,10:00~18:30,10:00~18:30,09:00~14:00,-,-
8,고운이치과의원,응급의료기관 이외 > 치과의원,064-751-2875,"제주특별자치도 제주시 연삼로 354, 2,3층 (도남동)",09:00~17:30,09:00~17:30,09:00~20:00,09:00~20:00,09:00~17:30,09:00~12:00,-,-
9,노형365준의원,응급의료기관 이외 > 의원,064-805-0119,"제주특별자치도 제주시 수덕로 41, 2층 (노형동)",08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00
10,으뜸경희한의원,응급의료기관 이외 > 한의원,064-742-0066,"제주특별자치도 제주시 신형로 23, 우주빌 4층 (노형동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,-,-
11,탑동365일의원,응급의료기관 이외 > 의원,064-756-3650,"제주특별자치도 제주시 탑동로 24 (삼도이동,2층)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
12,후한의원,응급의료기관 이외 > 한의원,064-725-7510,"제주특별자치도 제주시 노형로 407, 노형타워 301, 402호 (노형동)",09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~15:00,09:00~15:00,09:00~15:00
13,루아치과의원,응급의료기관 이외 > 치과의원,064-753-2833,"제주특별자치도 제주시 중앙로 337, 4층 401, 402, 403호 (이도이동)",09:30~19:00,09:30~19:00,09:30~21:00,09:30~19:00,09:30~19:00,09:30~13:00,-,-
14,현무암부부한의원,응급의료기관 이외 > 한의원,064-726-8880,"제주특별자치도 제주시 중앙로 360, 3층 (이도이동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~14:00,09:00~14:00,-
15,연세하루치과의원,응급의료기관 이외 > 치과의원,064-749-2875,"제주특별자치도 제주시 1100로 3321, 4층 (노형동)",09:30~18:30,09:30~18:30,09:30~20:30,09:30~20:30,09:30~18:30,09:30~14:00,-,-
