행정시,업소명,소재지,전화번호,데이터기준일자
서귀포시,위(WE)호텔,제주특별자치도 서귀포시 1100로 453-95,064-730-1200,2020-01-02
서귀포시,이에스제주리조트,제주특별자치도 서귀포시 1100로 501,070-4548-0285,2020-01-02
서귀포시,천백 휴양펜션,제주특별자치도 서귀포시 1100로 6,064-738-3234,2020-01-02
서귀포시,모이라펜션,제주특별자치도 서귀포시 516로 296,064-732-0005,2020-01-02
서귀포시,빅토르힐 리조트,제주특별자치도 서귀포시 516로277번길 45,064-780-6300,2020-01-02
서귀포시,비울채울,제주특별자치도 서귀포시 검은여로130번길 73,070-8900-3000,2020-01-02
서귀포시,휴호스텔,제주특별자치도 서귀포시 구산봉로21번길 62,064-738-6010,2020-01-02
서귀포시,호텔빠레브,제주특별자치도 서귀포시 김정문화로 15,064-735-8899,2020-01-02
서귀포시,밸류호텔 월드와이드 서귀포제이에스,제주특별자치도 서귀포시 김정문화로 51,064-802-3000,2020-01-02
서귀포시,호텔캘리포니아,제주특별자치도 서귀포시 김정문화로27번길 14-4,064-738-9902,2020-01-02
서귀포시,호텔랑주,제주특별자치도 서귀포시 김정문화로27번길 23-3,064-739-0012,2020-01-02
서귀포시,(주)스위트메이서귀포,제주특별자치도 서귀포시 김정문화로27번길 9-1,064-739-5757,2020-01-02
서귀포시,제주아일랜드모텔,제주특별자치도 서귀포시 김정문화로41번길 10-3,064-739-6637,2020-01-02
서귀포시,비스타케이호텔 월드컵,제주특별자치도 서귀포시 김정문화로41번길 10-6,064-802-7051,2020-01-02
서귀포시,풍경호스텔,제주특별자치도 서귀포시 남성로 117,064-763-3353,2020-01-02
서귀포시,굿데이,제주특별자치도 서귀포시 남성로115번길 2,,2020-01-02
서귀포시,파크선샤인제주,제주특별자치도 서귀포시 남성중로 135,064-766-1050,2020-01-02
서귀포시,풍경호텔,제주특별자치도 서귀포시 남성중로 147,064-733-3355,2020-01-02
서귀포시,예이츠산장,제주특별자치도 서귀포시 남원읍 516로 918,064-767-3746,2020-01-02
서귀포시,올레길,제주특별자치도 서귀포시 남원읍 남원회관로 45,064-764-9099,2020-01-02
서귀포시,기풍장여관,제주특별자치도 서귀포시 남원읍 남원회관로 73,064-764-2337,2020-01-02
서귀포시,부영CC관광호텔,제주특별자치도 서귀포시 남원읍 남조로 960,064-766-5700,2020-01-02
서귀포시,파도봐,제주특별자치도 서귀포시 남원읍 남태해안로 141,064-764-1110,2020-01-02
서귀포시,백통신원리조트 휴양콘도미니엄,제주특별자치도 서귀포시 남원읍 서성로 427,064-745-7077,2020-01-02
서귀포시,스프링데일 골프&리조트,제주특별자치도 서귀포시 남원읍 서성로 459,064-800-8000,2020-01-02
서귀포시,수망관광휴양펜션,제주특별자치도 서귀포시 남원읍 서성로 986-24,070-4151-5221,2020-01-02
서귀포시,포유펜션,제주특별자치도 서귀포시 남원읍 서의로 40-6,064-764-2777,2020-01-02
서귀포시,행복나무,제주특별자치도 서귀포시 남원읍 신례로 95,064-767-1600,2020-01-02
서귀포시,제주펜션 모이헤이,제주특별자치도 서귀포시 남원읍 신례로379번길 36-28,064-767-1005,2020-01-02
서귀포시,르페도라,제주특별자치도 서귀포시 남원읍 신례중앙로 6,064-732-7002,2020-01-02
서귀포시,리즈매니지먼트,제주특별자치도 서귀포시 남원읍 원님로 473,070-4274-1777,2020-01-02
서귀포시,펜션정원,제주특별자치도 서귀포시 남원읍 일주동로 6523,,2020-01-02
서귀포시,별빛하늘,제주특별자치도 서귀포시 남원읍 중산간동로 6264,,2020-01-02
서귀포시,금앤옥통나무팬션,제주특별자치도 서귀포시 남원읍 중산간동로7141번길 6,064-733-5212,2020-01-02
서귀포시,솔바람풍경소리,제주특별자치도 서귀포시 남원읍 태수로143번길 132-37,064-764-6002,2020-01-02
서귀포시,코업시티호텔하버뷰,제주특별자치도 서귀포시 남원읍 태위로 108,064-731-9988,2020-01-02
서귀포시,제주목화,제주특별자치도 서귀포시 남원읍 태위로 485,064-764-7942,2020-01-02
서귀포시,금호리조트(주)제주,제주특별자치도 서귀포시 남원읍 태위로 522-12,064-766-8000,2020-01-02
