사업장명,업종구분대분류,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,지번주소,도로명주소,도로명우편번호,데이터갱신일시
GS25 신제주점,안전상비의약품 판매업소,20121112,,취소/말소/만료/정지/중지,20210305,,,,,제주특별자치도 제주시 연동 314번지 1호,제주특별자치도 제주시 선덕로 6 (연동),63134,2021-03-12 02:40:00.0
지에스25제주칠성로점,안전상비의약품 판매업소,20190129,,폐업,20190715,,,,,제주특별자치도 제주시 일도일동 1305번지,"제주특별자치도 제주시 관덕로15길 15, 1층 (일도일동)",63277,2019-07-17 02:40:00.0
지에스25제주이도점,안전상비의약품 판매업소,20190116,,폐업,20201201,,,,,제주특별자치도 제주시 이도이동 1064번지 21호 장원빌딩,"제주특별자치도 제주시 오복4길 4, 장원빌딩 1층 (이도이동)",63223,2020-12-04 02:40:00.0
지에스25일도대림점,안전상비의약품 판매업소,20190108,,폐업,20200109,,,,,제주특별자치도 제주시 일도이동 89번지,제주특별자치도 제주시 태성로 20 (일도이동),63261,2020-01-11 02:40:00.0
지에스25제주동여중점,안전상비의약품 판매업소,20190501,,폐업,20200402,,,,,제주특별자치도 제주시 이도이동 324번지 4호,"제주특별자치도 제주시 천수로 23, 1층 (이도이동)",63214,2020-04-04 02:40:00.0
세븐일레븐 제주신촌점,안전상비의약품 판매업소,20190528,,폐업,20200514,,,,,제주특별자치도 제주시 조천읍 신촌리 1789번지 3호,제주특별자치도 제주시 조천읍 신북로 88,63337,2020-05-16 02:40:00.0
지에스25한라체육관점,안전상비의약품 판매업소,20190405,,폐업,20200903,,,,,제주특별자치도 제주시 오라일동 2442번지 15호,"제주특별자치도 제주시 서광로4길 10, 1층 (오라일동)",63188,2020-09-05 02:40:00.0
씨유제주연동도호점,안전상비의약품 판매업소,20190923,,폐업,20200213,,,,,제주특별자치도 제주시 연동 294번지 32호,"제주특별자치도 제주시 사장2길 13, 1층 (연동)",63133,2020-02-16 02:40:00.0
지에스25제주칠성로점,안전상비의약품 판매업소,20190715,,폐업,20210820,,,,,제주특별자치도 제주시 일도일동 1305번지,"제주특별자치도 제주시 관덕로15길 15, 1층 (일도일동)",63277,2021-08-22 02:40:00.0
씨유제주이도정든점,안전상비의약품 판매업소,20190703,,폐업,20210630,,,,,제주특별자치도 제주시 이도이동 431번지,"제주특별자치도 제주시 정든로 40, 1층 (이도이동)",63226,2021-07-02 02:40:00.0
레몬비세화해변점,안전상비의약품 판매업소,20190814,,폐업,20210406,,,,,,"제주특별자치도 제주시 구좌읍 해맞이해안로 1451, 1층",63361,2021-04-09 02:40:00.0
레몬비 애월점,안전상비의약품 판매업소,20190819,,폐업,20210121,,,,,,"제주특별자치도 제주시 애월읍 애월해안로 852, 1층",63050,2021-01-23 02:40:00.0
지에스(GS)25 제주백록점,안전상비의약품 판매업소,20131104,,폐업,20150729,,,,,제주특별자치도 제주시 삼도일동 584번지 3호,제주특별자치도 제주시 서광로 264 (삼도일동),690846,2018-08-31 23:59:59.0
지에스(GS)25 제주중앙로점,안전상비의약품 판매업소,20131104,,폐업,20190527,,,,,제주특별자치도 제주시 이도일동 1398번지 1호,제주특별자치도 제주시 중앙로14길 6-1 (이도일동),63168,2019-05-29 02:40:00.0
홍익제주호텔내 편의점,안전상비의약품 판매업소,20150528,,폐업,20180329,,,,,제주특별자치도 제주시 한림읍 협재리 1165번지,제주특별자치도 제주시 한림읍 일주서로 5125,63011,2018-08-31 23:59:59.0
GS25 제주일도점,안전상비의약품 판매업소,20170707,,폐업,20190628,,,,,제주특별자치도 제주시 일도이동 48번지 2호,"제주특별자치도 제주시 고마로 127 (일도이동, 경천빌딩)",63258,2019-06-30 02:40:00.0
씨유제주이도노브힐점,안전상비의약품 판매업소,20171024,,폐업,20200107,,,,,제주특별자치도 제주시 이도이동 1986번지 7호,"제주특별자치도 제주시 남광로2길 48, 1층 (이도이동)",63231,2020-01-09 02:40:00.0
GS25 제주신대로점,안전상비의약품 판매업소,20171026,,폐업,20191007,,,,,,제주특별자치도 제주시 선덕로4길 22 (연동),63134,2019-10-09 02:40:00.0
씨유제주송우수자인점,안전상비의약품 판매업소,20171103,,폐업,20190628,,,,,,"제주특별자치도 제주시 연사2길 72, B동 102호 (오라이동)",63145,2019-06-30 02:40:00.0
