학교급,설립구분,학교,자치구,남녀공학구분,개교일자,우편번호,주소,전화번호,팩스번호,홈페이지
고등학교,국립,제주대학교사범대학부설고등학교,제주시,남여공학,19840306,63151,제주특별자치도 제주시 용담로 65,647546500,647546400,http://jnuh.jje.hs.kr
고등학교,공립,대정고등학교,서귀포시,남,19520602,63509,제주특별자치도 서귀포시 대정읍 일주서로2498번길 21,647300100,647942070,http://daejeong.jje.hs.kr
고등학교,공립,대정여자고등학교,서귀포시,여,19640316,63509,제주특별자치도 서귀포시 대정읍 대한로88번길 82-22,647305300,647305399,http://djgirls.jje.hs.kr
고등학교,공립,서귀포고등학교,서귀포시,남,19690325,63585,제주특별자치도 서귀포시 중앙로 140,647306300,647306377,http://seogwipo.jje.hs.kr
고등학교,공립,서귀포산업과학고등학교,서귀포시,남여공학,19360529,63582,제주특별자치도 서귀포시 516로 501,647305500,647338764,http://sis.jje.hs.kr
고등학교,공립,서귀포여자고등학교,서귀포시,여,19630315,63571,제주특별자치도 서귀포시 태평로 80,647661100,647390539,http://sgpo.jje.hs.kr
고등학교,공립,성산고등학교,서귀포시,남여공학,19491115,63639,제주특별자치도 서귀포시 성산읍 한도로 79-17,647865000,647865115,http://jejuss.jje.hs.kr
고등학교,공립,세화고등학교,제주시,남여공학,19530401,63361,제주특별자치도 제주시 구좌읍 세종로 26,647801603,647832480,http://sehwa.jje.hs.kr
고등학교,공립,애월고등학교,제주시,남여공학,19530425,63044,제주특별자치도 제주시 애월읍 일주서로 6372-20,647975100,647996974,http://aewol.jje.hs.kr
고등학교,공립,제주고등학교,제주시,남여공학,19070701,63092,제주특별자치도 제주시 1100로 3213,647504146,647474377,http://jeju.jje.hs.kr
고등학교,공립,제주과학고등학교,제주시,남여공학,19990302,63144,제주특별자치도 제주시 산록북로 421-1,647540700,647540777,http://jeju-s.jje.hs.kr
고등학교,공립,제주여자상업고등학교,제주시,여,19660308,63282,제주특별자치도 제주시 동문로 89-1,647540105,647540199,http://jejugc.jje.hs.kr
고등학교,공립,제주외국어고등학교,제주시,남여공학,20040305,63065,제주특별자치도 제주시 애월읍 고성남길 34,647177700,647177703,http://jejufl.jje.hs.kr
고등학교,공립,제주제일고등학교,제주시,남,19550516,63087,제주특별자치도 제주시 진군길 22,647408200,647408290,http://jeil.jje.hs.kr
고등학교,공립,제주중앙여자고등학교,제주시,여,19791121,63231,제주특별자치도 제주시 구남동5길 11,647173100,647173110,http://jungang.jje.hs.kr
고등학교,공립,중문고등학교,서귀포시,남여공학,19660410,63540,제주특별자치도 서귀포시 일주서로570번길 19,647357400,647384503,http://jungmun.jje.hs.kr
고등학교,공립,표선고등학교,서귀포시,남여공학,19540618,63629,제주특별자치도 서귀포시 표선면 표선중앙로 22-15,647865500,647865599,http://jjps.jje.hs.kr
고등학교,공립,한국뷰티고등학교,제주시,남여공학,19690308,63008,제주특별자치도 제주시 한경면 용고로 70,647958208,647725977,http://kbeauty.jje.hs.kr
고등학교,공립,한림고등학교,제주시,남여공학,19640309,63012,제주특별자치도 제주시 한림읍 월계로 74,647955507,647969819,http://hallim.jje.hs.kr
고등학교,공립,한림공업고등학교,제주시,남여공학,19530419,63028,제주특별자치도 제주시 한림읍 한림중앙로 87,647973215,647963277,http://hallim-th.jje.hs.kr
고등학교,공립,함덕고등학교,제주시,남여공학,19530522,63332,제주특별자치도 제주시 조천읍 신흥로 9,647807800,647831247,http://hamdeok.jje.hs.kr
고등학교,사립,남녕고등학교,제주시,남여공학,19860303,63128,제주특별자치도 제주시 도령로 55,647176357,647176388,http://namnyeong.jje.hs.kr
고등학교,사립,남주고등학교,서귀포시,남,19550409,63579,제주특별자치도 서귀포시 동홍로303번길 14,647306000,647336100,http://namju.jje.hs.kr
고등학교,사립,대기고등학교,제주시,남,19840305,63328,제주특별자치도 제주시 번영로 453-6,647215142,647215146,http://www.daykey.hs.kr
고등학교,사립,삼성여자고등학교,서귀포시,여,19751118,63598,제주특별자치도 서귀포시 검은여로 151,647605400,647622670,http://samsung.jje.hs.kr
고등학교,사립,신성여자고등학교,제주시,여,19091018,63308,제주특별자치도 제주시 아봉로 174-1,647297300,647247060,http://shinseong.jje.hs.kr
고등학교,사립,영주고등학교,제주시,남여공학,19950301,63311,제주특별자치도 제주시 첨단동길 92,647296252,647026255,http://jyj.jje.hs.kr
고등학교,사립,오현고등학교,제주시,남,19510925,63293,제주특별자치도 제주시 일주동로 101,647540800,647554216,http://ohyun.jje.hs.kr/
고등학교,사립,제주여자고등학교,제주시,여,19510925,63236,제주특별자치도 제주시 구산로 50,647023762,647027906,http://jeju-g.jje.hs.kr
고등학교,사립,제주중앙고등학교,제주시,남여공학,19531210,63311,제주특별자치도 제주시 아봉로 323,647211152,647503888,http://jja.jje.hs.kr
특수학교,공립,서귀포온성학교,서귀포시,남여공학,20060310,63582,제주특별자치도 서귀포시 516로 447-10,647608000,647678014,http://onseong.jje.sc.kr
특수학교,공립,제주영지학교,제주시,남여공학,19710408,63245,제주특별자치도 제주시 간월동로3길 15,647281100,647570840,http://youngji.jje.sc.kr
특수학교,사립,제주영송학교,제주시,남여공학,19870321,63062,제주특별자치도 제주시 애월읍 광령중길 126-3,647482064,647475758,http://youngsong.jje.sc.kr
유치원,공립,고산초등학교병설유치원,제주시,남여공학,19810310,63008,제주특별자치도 제주시 한경면 고산로1길 16,647931887,647725478,http://gosan.jje.es.kr
유치원,공립,광령초등학교병설유치원,제주시,남여공학,19840312,63062,제주특별자치도 제주시 애월읍 광성로 276,647484089,647484093,http://gwang-r.jje.es.kr
유치원,공립,광양초등학교병설유치원,제주시,남여공학,19840314,63197,제주특별자치도 제주시 돈내길 5,647560252,647560014,http://jeju-gwyang.jje.es.kr
유치원,공립,구엄초등학교병설유치원,제주시,남여공학,19810309,63049,제주특별자치도 제주시 애월읍 일주서로 6768,647978700,647978799,http://gueom.jje.es.kr
유치원,공립,구좌중앙초등학교병설유치원,제주시,남여공학,19810310,63358,제주특별자치도 제주시 구좌읍 월정7길 1,647807500,647839380,http://kujwa.jje.es.kr
유치원,공립,귀덕초등학교병설유치원,제주시,남여공학,19810310,63024,제주특별자치도 제주시 한림읍 귀덕14길 14-5,647957788,647957799,http://gwideok.jje.es.kr
유치원,공립,김녕초등학교병설동복분교장유치원,제주시,남여공학,20190304,63347,제주특별자치도 제주시 구좌읍 동복로 66-5,647805920,647805990,http://kimnyeong.jje.es.kr/
유치원,공립,김녕초등학교병설유치원,제주시,남여공학,19800510,63357,제주특별자치도 제주시 구좌읍 김녕로 117,647832113,647844077,http://kimnyeong.jje.es.kr
유치원,공립,납읍초등학교병설유치원,제주시,남여공학,20000314,63035,제주특별자치도 제주시 애월읍 납읍로2길 47,647973408,647973499,http://nabeup.jje.es.kr
유치원,공립,노형초등학교병설유치원,제주시,남여공학,19840315,63102,제주특별자치도 제주시 노형로 383,647408100,647448829,http://nohyung.jje.es.kr
유치원,공립,대흘초등학교병설유치원,제주시,남여공학,19840315,63343,제주특별자치도 제주시 조천읍 중산간동로 677,647803605,647836625,http://daehul.jje.es.kr
유치원,공립,도남초등학교병설유치원,제주시,남여공학,20130307,63204,제주특별자치도 제주시 도남로8길 22,647522702,647522705,http://jejudonam.jje.es.kr
유치원,공립,도련초등학교병설유치원,제주시,남여공학,20150306,63324,제주특별자치도 제주시 화삼로 104,647549500,647549595,http://doryeon.jje.es.kr
유치원,공립,도리초등학교병설유치원,제주시,남여공학,19820315,63112,제주특별자치도 제주시 도리로 129,647174600,647174699,http://dori.jje.es.kr
유치원,공립,도평초등학교병설유치원,제주시,남여공학,20160307,63076,제주특별자치도 제주시 도평길 17,647400192,647400199,http://jejudopyeong.jje.es.kr
유치원,공립,동광초등학교병설유치원,제주시,남여공학,20190304,63260,제주특별자치도 제주시 태성로 6,647295808,647227109,http://donggwang.jje.es.kr
유치원,공립,동화초등학교병설유치원,제주시,남여공학,19980302,63301,제주특별자치도 제주시 동화로1길 44,647295770,647295773,http://donghwa.jje.es.kr
유치원,공립,물메초등학교병설유치원,제주시,남여공학,19840307,63056,제주특별자치도 제주시 애월읍 엄수로 202-4,647178004,647178099,http://mulme.jje.es.kr
유치원,공립,백록초등학교병설유치원,제주시,남여공학,20190306,63101,제주특별자치도 제주시 정존5길 62,647541600,647541690,http://bn.jje.es.kr/
유치원,공립,봉개초등학교병설유치원,제주시,남여공학,19840310,63313,제주특별자치도 제주시 번영로 484,647206804,647213384,http://bonggae.jje.es.kr
유치원,공립,북촌초등학교병설유치원,제주시,남여공학,19840307,63339,제주특별자치도 제주시 조천읍 일주동로 1481,647839932,647842242,http://bukchon.jje.es.kr
유치원,공립,삼성초등학교병설유치원,제주시,남여공학,19840315,63199,제주특별자치도 제주시 서광로29길 35,647200785,647211778,http://samsung.jje.es.kr/
유치원,공립,삼양초등학교병설유치원,제주시,남여공학,19840312,63321,제주특별자치도 제주시 지석14길 7,647567216,647573588,http://j-samyang.jje.es.kr
유치원,공립,삼화초등학교병설유치원,제주시,남여공학,20140304,63303,제주특별자치도 제주시 화삼북로 2길 27,647503405,647503497,http://jj-samhwa.jje.es.kr
유치원,공립,세화초등학교병설유치원,제주시,남여공학,19810305,63361,제주특별자치도 제주시 구좌읍 구좌로 65,647666580,647666599,http://sehwa.jje.es.kr
유치원,공립,송당초등학교병설유치원,제주시,남여공학,19850902,63355,제주특별자치도 제주시 구좌읍 중산간동로 2218-3,647806800,647806899,http://songdang.jje.es.kr
유치원,공립,수원초등학교병설유치원,제주시,남여공학,19810302,63026,제주특별자치도 제주시 한림읍 한림로 822,647973140,647960243,http://suwon.jje.es.kr
유치원,공립,신광초등학교병설유치원,제주시,남여공학,20140307,63127,제주특별자치도 제주시 성신로 25,647410870,647410876,http://jeju-sk.jje.es.kr/
유치원,공립,신창초등학교병설유치원,제주시,남여공학,20190305,63002,제주특별자치도 제주시 한경면 두신로 72,647950789,647720792,http://sinchang.jje.es.kr
유치원,공립,신촌초등학교병설유치원,제주시,남여공학,19810310,63337,제주특별자치도 제주시 조천읍 신북로 51,647805767,647805789,http://sinchon.jje.es.kr
유치원,공립,아라초등학교병설유치원,제주시,남여공학,19980314,63237,제주특별자치도 제주시 중앙로 518,647022861,647022864,http://jejuara.jje.es.kr
유치원,공립,애월초등학교병설유치원,제주시,남여공학,19810310,63043,제주특별자치도 제주시 애월읍 애월로 139-10,647992925,647992502,http://aewol.jje.es.kr
유치원,공립,어도초등학교병설유치원,제주시,남여공학,19820310,63039,제주특별자치도 제주시 애월읍 봉성로 76,647990519,647990516,http://uhdo.jje.es.kr
유치원,공립,영평초등학교병설유치원,제주시,남여공학,19840312,63308,제주특별자치도 제주시 아봉로 225,647021307,647021310,http://yeongpyeonp.jje.es.kr
유치원,공립,오라초등학교병설유치원,제주시,남여공학,19820312,63145,제주특별자치도 제주시 연사길 48,647438062,647438064,http://ora.jje.es.kr
유치원,공립,외도초등학교병설유치원,제주시,남여공학,19820316,63071,제주특별자치도 제주시 일주서로 7368,647175571,647175573,http://oedo.jje.es.kr
유치원,공립,우도초등학교병설유치원,제주시,남여공학,19810310,63365,제주특별자치도 제주시 우도면 우도로 156-11,647864500,647864599,http://udo.jje.es.kr
유치원,공립,월랑초등학교병설유치원,제주시,남여공학,20070307,63096,제주특별자치도 제주시 남녕로 63,647173598,647173599,http://wollang.jje.es.kr
유치원,공립,이도초등학교병설유치원,제주시,남여공학,20120306,63233,제주특별자치도 제주시 구남동2길 58,647545200,647545209,http://ido.jje.es.kr
유치원,공립,인화초등학교병설유치원,제주시,남여공학,19840312,63273,제주특별자치도 제주시 신산로15길 35,647300975,647243865,http://inhwa.jje.es.kr
유치원,공립,일도초등학교병설유치원,제주시,남여공학,19950314,63269,제주특별자치도 제주시 삼성로9길 27,647572870,647562934,http://ildo.jje.es.kr
유치원,공립,장전초등학교병설유치원,제주시,남여공학,19840320,63055,제주특별자치도 제주시 애월읍 장전로 122,647982210,647982250,http://jangjeon.jje.es.kr/
유치원,공립,재릉초등학교병설유치원,제주시,남여공학,19810310,63011,제주특별자치도 제주시 한림읍 한림로 288-18,647955700,647955799,http://jaereung.jje.es.kr
유치원,공립,저청초등학교병설유치원,제주시,남여공학,19850905,63006,제주특별자치도 제주시 한경면 중산간서로 3591,647981640,647981649,http://jeocheong.jje.es.kr
유치원,공립,제주남초등학교병설유치원,제주시,남여공학,19980311,63169,제주특별자치도 제주시 남성로 149,647529775,647520139,http://jejunam.jje.es.kr
유치원,공립,제주동초등학교병설유치원,제주시,남여공학,19840315,63279,제주특별자치도 제주시 동문로 65,647540505,647573115,http://jejudong.jje.es.kr
유치원,공립,제주북초등학교병설유치원,제주시,남여공학,19840312,63166,제주특별자치도 제주시 중앙로8길 18,647231483,647213496,http://jejubuk.jje.es.kr
유치원,공립,제주서초등학교병설유치원,제주시,남여공학,19840315,63156,제주특별자치도 제주시 성화로6길 51,647115944,647115945,http://jeju-seo.jje.es.kr
유치원,공립,제주중앙초등학교병설유치원,제주시,남여공학,20120307,63175,제주특별자치도 제주시 서사로18길 40,647293800,647293838,http://jejujungang.jje.es.kr
유치원,공립,조천초등학교병설유치원,제주시,남여공학,19810310,63331,제주특별자치도 제주시 조천읍 신북로 195,647844601,647824702,http://jocheon.jje.es.kr
유치원,공립,종달초등학교병설유치원,제주시,남여공학,19820308,63364,제주특별자치도 제주시 구좌읍 종달로7길 5,647833189,647842441,http://jongdal.jje.es.kr
유치원,공립,추자초등학교병설신양분교장유치원,제주시,남여공학,20130302,63001,제주특별자치도 제주시 추자면 추자로 553-10,647428421,647428422,http://chuja.jje.es.kr
유치원,공립,추자초등학교병설유치원,제주시,남여공학,19810311,63000,제주특별자치도 제주시 추자면 대서3길 10,647428531,647423648,http://chuja.jje.es.kr
