,자치구,행정동,고령자,의료인력,심한 장애,심하지 않은 장애
0,종로구,사직동,9379,354,136,141
1,종로구,삼청동,2659,105,39,69
2,종로구,부암동,9590,221,121,197
3,종로구,평창동,17952,95,199,314
4,종로구,무악동,8084,247,125,197
5,종로구,교남동,10048,1561,126,230
6,종로구,가회동,4086,8,72,105
7,종로구,종로1·2·3·4가동,8519,700,150,233
8,종로구,종로5·6가동,5509,220,95,166
9,종로구,이화동,7629,4765,102,221
10,종로구,창신1동,5438,126,96,189
11,종로구,창신2동,8816,45,165,336
12,종로구,창신3동,6624,3,112,224
13,종로구,숭인1동,6054,34,84,205
14,종로구,숭인2동,10535,42,130,292
15,종로구,청운효자동,11887,84,219,229
16,종로구,혜화동,19190,110,235,375
17,중구,소공동,3518,394,7,29
18,중구,회현동,5246,312,110,190
19,중구,명동,3706,493,51,74
20,중구,필동,4652,828,73,107
21,중구,장충동,5327,50,64,132
22,중구,광희동,6587,1048,83,163
23,중구,을지로동,1902,727,17,72
24,중구,신당5동,10517,108,175,307
25,중구,황학동,13433,77,182,316
26,중구,중림동,12323,70,186,331
27,중구,신당동,9118,116,139,261
28,중구,다산동,14022,138,201,456
29,중구,약수동,16627,202,316,535
30,중구,청구동,13561,61,220,409
31,중구,동화동,10225,93,144,284
32,용산구,후암동,16858,42,306,441
33,용산구,용산2가동,10420,18,155,300
34,용산구,남영동,7540,133,194,323
35,용산구,원효로2동,13794,25,159,299
36,용산구,효창동,10823,51,97,216
37,용산구,용문동,11693,32,168,307
38,용산구,이촌1동,25750,253,190,306
39,용산구,이촌2동,8140,7,130,225
40,용산구,이태원1동,7935,26,89,142
41,용산구,이태원2동,10432,38,100,212
42,용산구,서빙고동,13582,5,141,230
43,용산구,보광동,14187,76,184,409
44,용산구,청파동,19835,135,301,520
45,용산구,원효로1동,17584,86,191,260
46,용산구,한강로동,22988,163,172,328
47,용산구,한남동,22173,1228,180,411
48,성동구,왕십리2동,16648,45,210,435
49,성동구,마장동,22727,100,374,687
50,성동구,사근동,13837,1255,113,250
51,성동구,행당1동,14076,168,170,331
52,성동구,행당2동,23160,135,324,570
53,성동구,응봉동,15096,24,183,366
54,성동구,금호1가동,15085,58,246,418
55,성동구,금호4가동,14278,100,178,368
56,성동구,성수1가1동,16506,67,213,372
57,성동구,성수1가2동,12421,32,133,331
58,성동구,성수2가1동,15870,150,245,535
59,성동구,성수2가3동,10716,142,147,274
60,성동구,송정동,10549,77,174,338
61,성동구,용답동,12484,287,229,404
62,성동구,왕십리도선동,26989,332,370,649
63,성동구,금호2·3가동,22583,162,302,628
64,성동구,옥수동,25916,72,242,475
65,광진구,화양동,26809,1781,185,352
66,광진구,군자동,21266,171,277,525
67,광진구,중곡1동,15553,166,249,415
68,광진구,중곡2동,21386,185,302,580
69,광진구,중곡3동,16161,379,286,457
70,광진구,중곡4동,28436,123,475,833
71,광진구,능동,11601,114,133,254
72,광진구,구의1동,24023,130,278,511
73,광진구,구의2동,26688,139,367,700
74,광진구,구의3동,28532,224,284,529
75,광진구,광장동,34445,111,271,446
76,광진구,자양1동,22785,432,333,607
77,광진구,자양2동,24359,115,361,568
78,광진구,자양3동,27890,102,263,540
79,광진구,자양4동,21139,166,274,598
80,동대문구,회기동,13425,1900,114,207
81,동대문구,휘경1동,16350,85,180,332
82,동대문구,휘경2동,24749,744,298,598
83,동대문구,청량리동,19054,476,396,829
84,동대문구,용신동,35237,1026,464,997
85,동대문구,제기동,26468,253,443,933
86,동대문구,전농1동,29296,692,516,975
87,동대문구,전농2동,18732,150,339,576
88,동대문구,답십리2동,38612,207,493,944
89,동대문구,장안1동,32710,501,601,1073
90,동대문구,장안2동,21305,397,479,850
91,동대문구,이문1동,20185,129,267,519
92,동대문구,이문2동,28912,56,353,647
93,동대문구,답십리1동,28146,329,394,701
94,중랑구,면목2동,24355,183,406,833
95,중랑구,면목4동,18853,33,567,694
96,중랑구,면목5동,14836,9,218,415
97,중랑구,면목7동,21816,168,360,681
98,중랑구,상봉1동,23773,118,649,747
99,중랑구,상봉2동,20524,255,259,583
100,중랑구,중화1동,19412,102,321,620
101,중랑구,중화2동,25020,163,521,975
102,중랑구,묵1동,34430,142,492,986
103,중랑구,묵2동,18672,114,294,634
104,중랑구,망우3동,16346,70,340,617
105,중랑구,신내1동,38278,1143,763,1149
106,중랑구,신내2동,20180,129,725,761
107,중랑구,면목본동,33964,187,545,1141
108,중랑구,면목3·8동,24723,431,449,835
109,중랑구,망우본동,35928,719,617,1160
110,성북구,돈암1동,14517,80,192,417
111,성북구,돈암2동,23677,22,231,449
112,성북구,안암동,17039,1817,242,312
113,성북구,보문동,16701,162,195,402
114,성북구,정릉1동,18191,162,223,441
115,성북구,정릉2동,22938,160,322,635
116,성북구,정릉3동,16541,8,254,455
117,성북구,정릉4동,24907,61,357,702
118,성북구,길음1동,35061,169,375,649
119,성북구,길음2동,21617,243,201,419
120,성북구,월곡1동,26227,138,430,746
121,성북구,월곡2동,19855,69,295,602
122,성북구,장위1동,24147,50,408,761
123,성북구,장위2동,13726,116,242,484
124,성북구,장위3동,15806,39,228,381
125,성북구,성북동,16852,90,200,348
126,성북구,삼선동,23123,182,330,527
127,성북구,동선동,16126,245,204,351
128,성북구,종암동,40085,255,553,1054
129,성북구,석관동,35460,137,554,1211
130,강북구,번1동,18684,281,331,683
131,강북구,번2동,15530,93,558,797
132,강북구,번3동,16530,41,1002,986
133,강북구,수유1동,20643,117,525,761
134,강북구,수유2동,21095,94,399,698
135,강북구,수유3동,23655,285,387,733
136,강북구,삼양동,23293,144,451,894
137,강북구,미아동,21768,463,369,774
138,강북구,송중동,30004,257,471,951
139,강북구,송천동,26107,236,490,1047
140,강북구,삼각산동,30908,106,484,774
141,강북구,우이동,20415,37,368,665
142,강북구,인수동,29990,490,644,1153
143,도봉구,쌍문1동,21326,253,393,740
144,도봉구,쌍문2동,18576,110,350,597
145,도봉구,쌍문3동,17029,596,291,553
146,도봉구,쌍문4동,18398,76,234,412
147,도봉구,방학1동,28573,228,538,932
148,도봉구,방학2동,19418,79,453,786
149,도봉구,방학3동,26635,114,372,648
150,도봉구,창1동,24551,109,351,646
151,도봉구,창2동,28988,167,470,857
152,도봉구,창3동,13708,89,284,503
153,도봉구,창4동,26171,108,379,597
154,도봉구,창5동,24392,249,356,604
155,도봉구,도봉1동,20710,94,574,915
156,도봉구,도봉2동,26409,90,510,955
157,노원구,월계1동,21682,245,348,640
158,노원구,월계2동,26124,26,1138,1124
159,노원구,월계3동,29503,42,905,1054
160,노원구,공릉2동,42528,876,495,859
161,노원구,하계1동,27255,906,1157,919
162,노원구,하계2동,21703,19,431,564
163,노원구,중계본동,23595,71,320,436
164,노원구,중계1동,26586,119,289,422
165,노원구,중계4동,19645,184,715,787
166,노원구,상계1동,37944,244,769,1126
167,노원구,상계2동,19765,513,354,500
168,노원구,상계5동,23776,58,466,830
169,노원구,상계8동,22418,72,269,461
170,노원구,상계9동,20142,67,267,458
171,노원구,상계10동,18477,23,224,341
172,노원구,상계3·4동,25509,68,601,1024
173,노원구,상계6·7동,32149,1747,506,782
174,노원구,중계2·3동,33599,99,1662,1458
175,노원구,공릉1동,37286,486,940,1263
176,은평구,녹번동,36886,81,566,1071
177,은평구,불광1동,38265,192,623,1097
178,은평구,갈현1동,20223,313,372,677
179,은평구,갈현2동,28226,106,454,753
180,은평구,구산동,32119,277,1287,956
181,은평구,대조동,26835,293,431,800
182,은평구,응암1동,33188,350,458,866
183,은평구,응암2동,28076,182,364,620
184,은평구,신사1동,27029,110,442,784
185,은평구,신사2동,19600,16,341,592
186,은평구,증산동,18571,57,260,445
187,은평구,수색동,13176,28,223,386
188,은평구,진관동,55185,180,783,1186
189,은평구,불광2동,27269,85,488,953
190,은평구,응암3동,24489,224,440,885
191,은평구,역촌동,44987,405,795,1358
192,서대문구,천연동,17059,88,277,431
193,서대문구,홍제1동,23476,187,311,611
194,서대문구,홍제3동,17809,196,262,550
195,서대문구,홍제2동,13606,82,210,419
196,서대문구,홍은1동,22924,100,329,710
197,서대문구,홍은2동,26777,207,490,733
198,서대문구,남가좌1동,16596,165,183,336
199,서대문구,남가좌2동,30729,95,434,729
200,서대문구,북가좌1동,17899,134,242,446
201,서대문구,북가좌2동,31227,96,593,995
202,서대문구,충현동,20437,125,250,495
203,서대문구,북아현동,15977,82,195,359
204,서대문구,신촌동,25113,4960,189,277
205,서대문구,연희동,37530,354,467,788
206,마포구,용강동,21773,70,194,405
207,마포구,대흥동,16202,227,180,297
208,마포구,염리동,17671,33,187,329
209,마포구,신수동,22739,185,220,469
210,마포구,서교동,26733,658,230,454
211,마포구,합정동,17120,122,184,370
212,마포구,망원1동,19850,119,295,510
213,마포구,망원2동,18584,50,260,474
214,마포구,연남동,15662,32,162,334
215,마포구,성산1동,19133,42,229,441
216,마포구,성산2동,39732,119,939,1050
217,마포구,상암동,31009,263,533,637
218,마포구,도화동,21155,252,285,450
219,마포구,서강동,25519,77,259,413
220,마포구,공덕동,37599,238,528,948
221,마포구,아현동,25581,238,236,443
222,양천구,목1동,30565,606,251,435
223,양천구,목2동,29733,106,373,685
224,양천구,목3동,21865,130,343,564
225,양천구,목4동,25208,93,299,572
226,양천구,신월1동,20463,63,452,808
227,양천구,신월2동,20556,62,328,635
228,양천구,신월3동,14997,22,332,597
229,양천구,신월4동,17777,48,300,603
230,양천구,신월5동,14559,175,253,469
231,양천구,신월6동,13762,101,155,294
232,양천구,신월7동,19294,60,391,765
233,양천구,신정1동,19986,93,176,374
234,양천구,신정2동,19099,68,307,432
235,양천구,신정3동,50573,478,884,1307
236,양천구,신정6동,24208,17,166,296
237,양천구,신정7동,28629,106,501,865
238,양천구,목5동,40747,1732,245,467
239,양천구,신정4동,33249,776,571,1030
240,강서구,염창동,41730,145,355,692
241,강서구,등촌1동,25002,355,265,479
242,강서구,등촌2동,19926,95,236,474
243,강서구,등촌3동,30204,659,2006,1708
244,강서구,화곡본동,34301,239,520,882
245,강서구,화곡2동,17879,40,261,494
246,강서구,화곡3동,21627,152,296,524
247,강서구,화곡4동,20587,141,355,644
248,강서구,화곡6동,25310,222,397,572
249,강서구,화곡8동,24592,101,353,687
250,강서구,가양1동,34408,637,282,514
251,강서구,가양2동,13983,177,1426,990
252,강서구,가양3동,14743,39,775,885
253,강서구,발산1동,36300,584,587,903
254,강서구,공항동,31050,211,527,788
255,강서구,방화1동,42884,172,642,1113
256,강서구,방화2동,23402,172,690,915
257,강서구,방화3동,22591,31,944,1047
258,강서구,화곡1동,52707,398,691,1379
259,강서구,우장산동,42587,496,442,806
260,구로구,신도림동,36223,157,327,620
261,구로구,구로1동,21023,144,185,345
262,구로구,구로3동,25226,233,305,620
263,구로구,구로4동,23224,183,419,828
264,구로구,구로5동,31900,342,394,740
265,구로구,고척1동,22039,343,368,737
266,구로구,고척2동,26712,319,479,841
267,구로구,개봉2동,30910,306,483,970
268,구로구,개봉3동,20353,109,355,698
269,구로구,오류1동,22906,236,377,735
270,구로구,수궁동,23413,72,495,778
271,구로구,가리봉동,12699,173,204,334
272,구로구,구로2동,30361,2140,464,960
273,구로구,개봉1동,34232,286,622,1052
274,구로구,오류2동,38755,127,831,1244
275,구로구,항동,16594,353.65,270,294
276,금천구,가산동,26619,349,261,478
277,금천구,독산1동,47550,643,860,1129
278,금천구,독산2동,19759,74,331,635
279,금천구,독산3동,27423,271,408,808
280,금천구,독산4동,16519,42,268,529
281,금천구,시흥1동,34195,532,580,1095
282,금천구,시흥2동,20870,24,395,729
283,금천구,시흥3동,10792,13,186,367
284,금천구,시흥4동,20729,65,360,783
285,금천구,시흥5동,19416,89,426,830
286,영등포구,여의동,33006,353.65,283,475
287,영등포구,당산1동,20763,216,250,517
288,영등포구,당산2동,37722,270,299,651
289,영등포구,양평1동,18714,144,225,443
290,영등포구,양평2동,22563,237,194,418
291,영등포구,신길1동,20163,561,273,562
292,영등포구,신길3동,17369,155,299,541
293,영등포구,신길4동,12995,33,216,399
294,영등포구,신길5동,11269,10,175,369
295,영등포구,신길6동,19689,174,283,508
296,영등포구,신길7동,19926,125,199,368
297,영등포구,대림1동,16544,1083,285,553
298,영등포구,대림2동,17559,425,219,499
299,영등포구,대림3동,25301,406,343,794
300,영등포구,영등포본동,22800,50,351,703
301,영등포구,영등포동,30312,1386,368,652
302,영등포구,도림동,19685,55,341,551
303,영등포구,문래동,32558,238,289,599
304,동작구,노량진2동,11214,61,187,369
305,동작구,상도1동,46066,121,561,921
306,동작구,상도2동,28000,301,334,580
307,동작구,상도3동,24614,208,388,763
308,동작구,상도4동,28629,98,492,798
309,동작구,사당1동,23109,311,273,510
310,동작구,사당3동,24237,48,271,488
311,동작구,사당4동,14277,154,181,400
312,동작구,사당5동,14456,36,192,326
313,동작구,대방동,37757,258,629,924
314,동작구,신대방1동,24988,717,294,525
315,동작구,신대방2동,22498,799,283,463
316,동작구,흑석동,31892,1664,361,739
317,동작구,노량진1동,32074,163,458,788
318,동작구,사당2동,28817,200,297,622
319,관악구,보라매동,24740,80,446,660
320,관악구,청림동,15084,17,244,420
321,관악구,행운동,29741,218,402,654
322,관악구,낙성대동,17938,205,194,267
323,관악구,중앙동,15730,174,204,393
324,관악구,인헌동,26199,75,320,591
325,관악구,남현동,18237,83,192,362
326,관악구,서원동,23583,448,278,506
327,관악구,신원동,18716,48,320,534
328,관악구,서림동,24094,62,316,570
329,관악구,신사동,24839,80,325,605
330,관악구,신사동,24839,80,156,240
331,관악구,신사동,24839,2718,325,605
332,관악구,신사동,24839,2718,156,240
333,강남구,신사동,15942,80,325,605
334,강남구,신사동,15942,80,156,240
335,강남구,신사동,15942,2718,325,605
336,강남구,신사동,15942,2718,156,240
337,관악구,신림동,23866,297,198,355
338,관악구,난향동,15180,31,243,433
339,관악구,조원동,19445,156,238,464
340,관악구,대학동,25749,69,263,485
341,관악구,은천동,33225,266,618,1035
342,관악구,성현동,28967,50,552,871
343,관악구,청룡동,37018,243,371,749
344,관악구,난곡동,26833,94,612,1035
345,관악구,삼성동,20814,30,543,898
346,관악구,미성동,30752,97,506,939
347,서초구,서초1동,20727,505,184,292
348,서초구,서초2동,26856,370,174,279
349,서초구,서초3동,32397,548,276,459
350,서초구,서초4동,30584,1222,178,294
351,서초구,잠원동,26459,657,195,312
352,서초구,반포본동,305,166,12,18
353,서초구,반포1동,34634,344,192,420
354,서초구,반포2동,15823,65,79,155
355,서초구,반포3동,22055,24,144,223
356,서초구,반포4동,19581,3448,124,233
357,서초구,방배본동,20843,257,190,283
358,서초구,방배1동,16896,378,159,317
359,서초구,방배2동,18631,62,229,447
360,서초구,방배3동,17643,209,143,272
361,서초구,방배4동,23444,285,225,371
362,서초구,양재1동,42875,522,914,982
