,행정구역명,행정구역코드,고령자,수급자,중증장애,매출액,고령자_zscore,수급자_zscore,중증장애_zscore,매출액_zscore,고령자_tscore,수급자_tscore,중증장애_tscore,매출액_tscore,의료가중지수
0,가락1동,1124066,3460,112,215,132632406.2,-0.202330408,-1.140143327,-0.577222439,-0.781478385,47.97669592,38.59856673,44.22777561,42.18521615,42.97116839
1,가락2동,1124067,4280,576,358,384975911,0.33532522,-0.485926431,0.047746218,0.584404671,53.3532522,45.14073569,50.47746218,55.84404671,52.80198532
2,가락본동,1124065,3811,739,264,264387300,0.027812428,-0.256104547,-0.36307234,-0.06831647,50.27812428,47.43895453,46.3692766,49.3168353,48.81201912
3,가리봉동,1117070,2077,643,204,92000303.57,-1.109132523,-0.391459767,-0.625296951,-1.001411529,38.90867477,46.08540233,43.74703049,39.98588471,41.30800153
4,가산동,1118051,2682,801,261,274420097.4,-0.712447578,-0.168687634,-0.37618357,-0.014011019,42.87552422,48.31312366,46.2381643,49.85988981,47.73961693
5,가양1동,1116064,3121,307,282,163015579,-0.424605113,-0.865203037,-0.284404956,-0.617020571,45.75394887,41.34796963,47.15595044,43.82979429,44.19607541
6,가양2동,1116065,4134,3330,1426,665295367.6,0.239596291,3.397076441,4.715344305,2.101715753,52.39596291,83.97076441,97.15344305,71.01715753,72.8268355
7,가양3동,1116066,3721,2312,775,434045423.5,-0.031198556,1.961747129,1.870207269,0.850007766,49.68801444,69.61747129,68.70207269,58.50007766,59.95845828
8,가회동,1101060,865,77,72,58333851.02,-1.903813768,-1.189491585,-1.202191097,-1.183641055,30.96186232,38.10508415,37.97808903,38.16358945,36.68981805
9,갈현1동,1112055,4381,1799,372,315876992.4,0.401548657,1.238442673,0.108931961,0.210386556,54.01548657,62.38442673,51.08931961,52.10386556,54.15846972
10,갈현2동,1112056,5010,1456,454,238617193.6,0.813969864,0.754829752,0.467305597,-0.207804711,58.13969864,57.54829752,54.67305597,47.92195289,52.49400024
11,강일동,1125051,5321,2240,687,277008598.3,1.017885597,1.860230714,1.485611172,-3.23E-16,60.17885597,68.60230714,64.85611172,50,57.14818891
12,개봉1동,1117072,6464,1645,622,176929828.1,1.767325088,1.021310341,1.201534509,-0.541705627,67.67325088,60.21310341,62.01534509,44.58294373,54.11533328
13,개봉2동,1117064,6506,811,483,442268746.9,1.794863547,-0.154588132,0.594047493,0.89451891,67.94863547,48.45411868,55.94047493,58.9451891,58.53435178
14,개봉3동,1117065,4307,658,355,199760780,0.353028515,-0.370310514,0.034634988,-0.418126419,53.53028515,46.29689486,50.34634988,45.81873581,48.01067527
15,개포1동,1123068,1620,162,65,187513490.4,-1.408777184,-1.069645817,-1.232783968,-0.484418458,35.91222816,39.30354183,37.67216032,45.15581542,41.3474932
16,개포2동,1123080,3640,174,211,180614788.4,-0.084308441,-1.052726414,-0.59470408,-0.521759701,49.15691559,39.47273586,44.0529592,44.78240299,44.63693329
17,개포4동,1123071,3240,713,249,196187972,-0.346579479,-0.292763253,-0.428628493,-0.437465288,46.53420521,47.07236747,45.71371507,45.62534712,46.07139329
18,거여1동,1124053,2414,560,222,150921420.6,-0.888169173,-0.508485634,-0.546629568,-0.682483743,41.11830827,44.91514366,44.53370432,43.17516257,43.23810612
